id,天气,时间,路况,主车道前方空隙,主车道车速,主车道车距,主车道车辆类型,乘客需求,本车角色,后车类型,本车状态,本车距合流点距离,本车速度
239,晴天,白天,干燥,畅通,35公里/小时,10米,普通轿车,无特别需求,应急车辆,应急车辆,接近中,10米,50公里/小时
664,晴天,白天,干燥,畅通,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,无,接近中,100米,30公里/小时
714,晴天,白天,干燥,畅通,35公里/小时,10米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,30公里/小时
789,晴天,白天,干燥,畅通,35公里/小时,10米,应急车辆,无特别需求,卡车,无,接近中,10米,50公里/小时
872,晴天,白天,干燥,畅通,35公里/小时,50米,普通轿车,紧急（送医）,卡车,无,接近中,100米,80公里/小时
1157,晴天,白天,干燥,畅通,35公里/小时,50米,卡车,紧急（送医）,卡车,普通轿车,接近中,50米,30公里/小时
1198,晴天,白天,干燥,畅通,35公里/小时,50米,卡车,赶时间（通勤/赶飞机）,普通轿车,应急车辆,接近中,10米,80公里/小时
1394,晴天,白天,干燥,畅通,35公里/小时,50米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,100米,30公里/小时
1412,晴天,白天,干燥,畅通,35公里/小时,50米,应急车辆,紧急（送医）,卡车,无,接近中,100米,80公里/小时
1417,晴天,白天,干燥,畅通,35公里/小时,50米,应急车辆,紧急（送医）,卡车,无,接近中,50米,30公里/小时
1520,晴天,白天,干燥,畅通,35公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,卡车,普通轿车,接近中,10米,30公里/小时
1636,晴天,白天,干燥,畅通,35公里/小时,100米,普通轿车,紧急（送医）,普通轿车,普通轿车,接近中,50米,50公里/小时
1708,晴天,白天,干燥,畅通,35公里/小时,100米,普通轿车,紧急（送医）,卡车,应急车辆,接近中,10米,80公里/小时
2103,晴天,白天,干燥,畅通,35公里/小时,100米,卡车,无特别需求,应急车辆,无,接近中,100米,50公里/小时
2158,晴天,白天,干燥,畅通,35公里/小时,100米,卡车,无特别需求,卡车,应急车辆,接近中,10米,80公里/小时
2505,晴天,白天,干燥,畅通,60公里/小时,50米,普通轿车,紧急（送医）,卡车,普通轿车,接近中,50米,80公里/小时
2807,晴天,白天,干燥,畅通,60公里/小时,50米,卡车,赶时间（通勤/赶飞机）,普通轿车,普通轿车,接近中,50米,30公里/小时
2990,晴天,白天,干燥,畅通,60公里/小时,50米,应急车辆,紧急（送医）,普通轿车,普通轿车,接近中,10米,30公里/小时
3000,晴天,白天,干燥,畅通,60公里/小时,50米,应急车辆,紧急（送医）,普通轿车,应急车辆,接近中,10米,30公里/小时
3011,晴天,白天,干燥,畅通,60公里/小时,50米,应急车辆,紧急（送医）,应急车辆,普通轿车,静止,0米,0公里/小时
3017,晴天,白天,干燥,畅通,60公里/小时,50米,应急车辆,紧急（送医）,应急车辆,普通轿车,接近中,50米,30公里/小时
3064,晴天,白天,干燥,畅通,60公里/小时,50米,应急车辆,赶时间（通勤/赶飞机）,普通轿车,无,接近中,100米,30公里/小时
3712,晴天,白天,干燥,畅通,60公里/小时,100米,卡车,无特别需求,普通轿车,应急车辆,接近中,100米,80公里/小时
3914,晴天,白天,干燥,畅通,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,应急车辆,普通轿车,接近中,100米,30公里/小时
3953,晴天,白天,干燥,畅通,60公里/小时,100米,应急车辆,赶时间（通勤/赶飞机）,卡车,应急车辆,接近中,100米,50公里/小时
