id,weather,time,road_condition,mainstream_front_space,mainstream_vehicle_speed,mainstream_gap,mainstream_vehicle_type,occupant_requirement,ego_role,following_vehicle,ego_state,ego_distance,ego_velocity
239,sunny,day,dry,free,35km/h,10m,normal car,none,emergency vehicle,emergency vehicle,approaching,10m,50km/h
664,sunny,day,dry,free,35km/h,10m,emergency vehicle,hurry (commute or flight),emergency vehicle,none,approaching,100m,30km/h
714,sunny,day,dry,free,35km/h,10m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
789,sunny,day,dry,free,35km/h,10m,emergency vehicle,none,truck,none,approaching,10m,50km/h
872,sunny,day,dry,free,35km/h,50m,normal car,urgent (to hospital),truck,none,approaching,100m,80km/h
1157,sunny,day,dry,free,35km/h,50m,truck,urgent (to hospital),truck,normal car,approaching,50m,30km/h
1198,sunny,day,dry,free,35km/h,50m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,80km/h
1394,sunny,day,dry,free,35km/h,50m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,100m,30km/h
1412,sunny,day,dry,free,35km/h,50m,emergency vehicle,urgent (to hospital),truck,none,approaching,100m,80km/h
1417,sunny,day,dry,free,35km/h,50m,emergency vehicle,urgent (to hospital),truck,none,approaching,50m,30km/h
1520,sunny,day,dry,free,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,normal car,approaching,10m,30km/h
1636,sunny,day,dry,free,35km/h,100m,normal car,urgent (to hospital),normal car,normal car,approaching,50m,50km/h
1708,sunny,day,dry,free,35km/h,100m,normal car,urgent (to hospital),truck,emergency vehicle,approaching,10m,80km/h
2103,sunny,day,dry,free,35km/h,100m,truck,none,emergency vehicle,none,approaching,100m,50km/h
2158,sunny,day,dry,free,35km/h,100m,truck,none,truck,emergency vehicle,approaching,10m,80km/h
2505,sunny,day,dry,free,60km/h,50m,normal car,urgent (to hospital),truck,normal car,approaching,50m,80km/h
2807,sunny,day,dry,free,60km/h,50m,truck,hurry (commute or flight),normal car,normal car,approaching,50m,30km/h
2990,sunny,day,dry,free,60km/h,50m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,10m,30km/h
3000,sunny,day,dry,free,60km/h,50m,emergency vehicle,urgent (to hospital),normal car,emergency vehicle,approaching,10m,30km/h
3011,sunny,day,dry,free,60km/h,50m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,stopping,0m,0km/h
3017,sunny,day,dry,free,60km/h,50m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,50m,30km/h
3064,sunny,day,dry,free,60km/h,50m,emergency vehicle,hurry (commute or flight),normal car,none,approaching,100m,30km/h
3712,sunny,day,dry,free,60km/h,100m,truck,none,normal car,emergency vehicle,approaching,100m,80km/h
3914,sunny,day,dry,free,60km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,30km/h
3953,sunny,day,dry,free,60km/h,100m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,50km/h
3983,sunny,day,dry,free,60km/h,100m,emergency vehicle,none,normal car,emergency vehicle,approaching,100m,50km/h
4050,sunny,day,dry,free,60km/h,100m,emergency vehicle,none,truck,emergency vehicle,approaching,10m,30km/h
4094,sunny,day,dry,free,60km/h,150m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,100m,30km/h
4248,sunny,day,dry,free,60km/h,150m,normal car,none,normal car,normal car,approaching,10m,80km/h
4404,sunny,day,dry,free,60km/h,150m,truck,urgent (to hospital),truck,emergency vehicle,approaching,100m,30km/h
4689,sunny,day,dry,free,60km/h,150m,emergency vehicle,hurry (commute or flight),normal car,none,approaching,10m,50km/h
4730,sunny,day,dry,free,60km/h,150m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,10m,30km/h
4856,sunny,day,dry,free,60km/h,150m,emergency vehicle,none,truck,emergency vehicle,approaching,50m,50km/h
4947,sunny,day,dry,free,100km/h,100m,normal car,urgent (to hospital),truck,emergency vehicle,approaching,50m,30km/h
5029,sunny,day,dry,free,100km/h,100m,normal car,hurry (commute or flight),truck,normal car,approaching,10m,50km/h
5299,sunny,day,dry,free,100km/h,100m,truck,hurry (commute or flight),truck,normal car,approaching,10m,50km/h
5325,sunny,day,dry,free,100km/h,100m,truck,none,normal car,normal car,approaching,50m,80km/h
5961,sunny,day,dry,free,100km/h,150m,truck,urgent (to hospital),normal car,emergency vehicle,stopping,0m,0km/h
6514,sunny,day,dry,free,100km/h,200m,normal car,urgent (to hospital),emergency vehicle,none,approaching,100m,30km/h
6577,sunny,day,dry,free,100km/h,200m,normal car,hurry (commute or flight),normal car,none,approaching,50m,30km/h
6793,sunny,day,dry,free,100km/h,200m,truck,urgent (to hospital),emergency vehicle,normal car,approaching,100m,50km/h
6807,sunny,day,dry,free,100km/h,200m,truck,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,50m,30km/h
7093,sunny,day,dry,free,100km/h,200m,emergency vehicle,urgent (to hospital),truck,normal car,approaching,100m,50km/h
7159,sunny,day,dry,free,100km/h,200m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,10m,50km/h
7163,sunny,day,dry,free,100km/h,200m,emergency vehicle,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,100m,50km/h
7691,sunny,day,dry,100m,35km/h,10m,truck,hurry (commute or flight),emergency vehicle,normal car,stopping,0m,0km/h
7719,sunny,day,dry,100m,35km/h,10m,truck,hurry (commute or flight),truck,none,approaching,10m,50km/h
7731,sunny,day,dry,100m,35km/h,10m,truck,hurry (commute or flight),truck,emergency vehicle,stopping,0m,0km/h
7773,sunny,day,dry,100m,35km/h,10m,truck,none,emergency vehicle,none,approaching,100m,50km/h
7963,sunny,day,dry,100m,35km/h,10m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,50km/h
8115,sunny,day,dry,100m,35km/h,50m,normal car,urgent (to hospital),normal car,normal car,approaching,50m,80km/h
8271,sunny,day,dry,100m,35km/h,50m,normal car,hurry (commute or flight),truck,emergency vehicle,stopping,0m,0km/h
8334,sunny,day,dry,100m,35km/h,50m,normal car,none,emergency vehicle,emergency vehicle,approaching,100m,30km/h
8356,sunny,day,dry,100m,35km/h,50m,normal car,none,truck,normal car,approaching,50m,50km/h
8552,sunny,day,dry,100m,35km/h,50m,truck,none,normal car,none,approaching,100m,80km/h
8640,sunny,day,dry,100m,35km/h,50m,truck,none,truck,emergency vehicle,approaching,10m,30km/h
8961,sunny,day,dry,100m,35km/h,100m,normal car,urgent (to hospital),emergency vehicle,emergency vehicle,stopping,0m,0km/h
9009,sunny,day,dry,100m,35km/h,100m,normal car,hurry (commute or flight),normal car,none,approaching,10m,50km/h
9101,sunny,day,dry,100m,35km/h,100m,normal car,none,normal car,normal car,stopping,0m,0km/h
9255,sunny,day,dry,100m,35km/h,100m,truck,urgent (to hospital),truck,normal car,approaching,50m,80km/h
9586,sunny,day,dry,100m,35km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,50km/h
9656,sunny,day,dry,100m,35km/h,100m,emergency vehicle,none,normal car,emergency vehicle,approaching,50m,50km/h
10059,sunny,day,dry,100m,60km/h,50m,truck,urgent (to hospital),truck,none,approaching,10m,50km/h
10138,sunny,day,dry,100m,60km/h,50m,truck,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,80km/h
10164,sunny,day,dry,100m,60km/h,50m,truck,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
10309,sunny,day,dry,100m,60km/h,50m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,10m,50km/h
10482,sunny,day,dry,100m,60km/h,50m,emergency vehicle,none,emergency vehicle,normal car,approaching,100m,80km/h
10642,sunny,day,dry,100m,60km/h,100m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,100m,80km/h
10747,sunny,day,dry,100m,60km/h,100m,normal car,none,emergency vehicle,none,approaching,50m,30km/h
10753,sunny,day,dry,100m,60km/h,100m,normal car,none,emergency vehicle,normal car,approaching,100m,50km/h
11082,sunny,day,dry,100m,60km/h,100m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,100m,80km/h
11380,sunny,day,dry,100m,60km/h,150m,normal car,urgent (to hospital),emergency vehicle,none,approaching,10m,30km/h
11687,sunny,day,dry,100m,60km/h,150m,truck,urgent (to hospital),truck,normal car,approaching,50m,30km/h
11689,sunny,day,dry,100m,60km/h,150m,truck,urgent (to hospital),truck,normal car,approaching,10m,50km/h
11747,sunny,day,dry,100m,60km/h,150m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,30km/h
11759,sunny,day,dry,100m,60km/h,150m,truck,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,50km/h
11896,sunny,day,dry,100m,60km/h,150m,emergency vehicle,urgent (to hospital),normal car,normal car,approaching,50m,50km/h
12119,sunny,day,dry,100m,60km/h,150m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,10m,50km/h
12284,sunny,day,dry,100m,100km/h,100m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,30km/h
12536,sunny,day,dry,100m,100km/h,100m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,50km/h
12557,sunny,day,dry,100m,100km/h,100m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,30km/h
12733,sunny,day,dry,100m,100km/h,100m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,100m,50km/h
12815,sunny,day,dry,100m,100km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,none,approaching,50m,80km/h
12882,sunny,day,dry,100m,100km/h,100m,emergency vehicle,none,normal car,normal car,approaching,100m,80km/h
13003,sunny,day,dry,100m,100km/h,150m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,100m,50km/h
13126,sunny,day,dry,100m,100km/h,150m,normal car,hurry (commute or flight),truck,normal car,approaching,50m,50km/h
13396,sunny,day,dry,100m,100km/h,150m,truck,hurry (commute or flight),truck,normal car,approaching,50m,50km/h
13453,sunny,day,dry,100m,100km/h,150m,truck,none,emergency vehicle,normal car,approaching,100m,50km/h
13503,sunny,day,dry,100m,100km/h,150m,emergency vehicle,urgent (to hospital),normal car,none,approaching,100m,50km/h
13689,sunny,day,dry,100m,100km/h,150m,emergency vehicle,none,normal car,none,approaching,10m,50km/h
14211,sunny,day,dry,100m,100km/h,200m,truck,hurry (commute or flight),truck,emergency vehicle,stopping,0m,0km/h
14520,sunny,day,dry,100m,100km/h,200m,emergency vehicle,none,normal car,emergency vehicle,approaching,10m,30km/h
14623,sunny,day,dry,50m,35km/h,10m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,100m,50km/h
14746,sunny,day,dry,50m,35km/h,10m,normal car,hurry (commute or flight),truck,normal car,approaching,50m,50km/h
15126,sunny,day,dry,50m,35km/h,10m,emergency vehicle,urgent (to hospital),normal car,none,approaching,50m,50km/h
15160,sunny,day,dry,50m,35km/h,10m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,10m,30km/h
15526,sunny,day,dry,50m,35km/h,50m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,50km/h
15545,sunny,day,dry,50m,35km/h,50m,normal car,hurry (commute or flight),truck,none,approaching,50m,80km/h
15609,sunny,day,dry,50m,35km/h,50m,normal car,none,emergency vehicle,none,approaching,10m,50km/h
15723,sunny,day,dry,50m,35km/h,50m,truck,urgent (to hospital),truck,none,approaching,100m,50km/h
16047,sunny,day,dry,50m,35km/h,50m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,30km/h
17133,sunny,day,dry,50m,60km/h,50m,normal car,hurry (commute or flight),emergency vehicle,none,approaching,100m,50km/h
17142,sunny,day,dry,50m,60km/h,50m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,80km/h
17243,sunny,day,dry,50m,60km/h,50m,normal car,none,emergency vehicle,emergency vehicle,approaching,100m,50km/h
17305,sunny,day,dry,50m,60km/h,50m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,50m,80km/h
17477,sunny,day,dry,50m,60km/h,50m,truck,none,normal car,normal car,approaching,50m,30km/h
17713,sunny,day,dry,50m,60km/h,50m,emergency vehicle,hurry (commute or flight),truck,normal car,approaching,100m,50km/h
17939,sunny,day,dry,50m,60km/h,100m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
17955,sunny,day,dry,50m,60km/h,100m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,80km/h
18105,sunny,day,dry,50m,60km/h,100m,truck,urgent (to hospital),normal car,normal car,approaching,50m,80km/h
18273,sunny,day,dry,50m,60km/h,100m,truck,none,normal car,none,approaching,100m,50km/h
18476,sunny,day,dry,50m,60km/h,100m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,50m,50km/h
18759,sunny,day,dry,50m,60km/h,150m,normal car,hurry (commute or flight),emergency vehicle,none,approaching,10m,50km/h
19019,sunny,day,dry,50m,60km/h,150m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
19103,sunny,day,dry,50m,60km/h,150m,truck,none,normal car,emergency vehicle,approaching,100m,50km/h
19218,sunny,day,dry,50m,60km/h,150m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,10m,80km/h
19394,sunny,day,dry,50m,60km/h,150m,emergency vehicle,none,emergency vehicle,normal car,approaching,100m,30km/h
19687,sunny,day,dry,50m,100km/h,100m,normal car,none,truck,none,approaching,50m,30km/h
20085,sunny,day,dry,50m,100km/h,100m,emergency vehicle,hurry (commute or flight),normal car,normal car,approaching,50m,80km/h
20281,sunny,day,dry,50m,100km/h,150m,normal car,urgent (to hospital),emergency vehicle,none,stopping,0m,0km/h
20368,sunny,day,dry,50m,100km/h,150m,normal car,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,80km/h
20819,sunny,day,dry,50m,100km/h,150m,emergency vehicle,urgent (to hospital),normal car,emergency vehicle,approaching,10m,50km/h
20855,sunny,day,dry,50m,100km/h,150m,emergency vehicle,urgent (to hospital),truck,none,approaching,50m,80km/h
21089,sunny,day,dry,50m,100km/h,200m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,10m,50km/h
21130,sunny,day,dry,50m,100km/h,200m,normal car,urgent (to hospital),truck,none,approaching,10m,30km/h
21238,sunny,day,dry,50m,100km/h,200m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
21449,sunny,day,dry,50m,100km/h,200m,truck,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,50km/h
21900,sunny,day,dry,20m,35km/h,10m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,10m,30km/h
22049,sunny,day,dry,20m,35km/h,10m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,10m,50km/h
22136,sunny,day,dry,20m,35km/h,10m,normal car,none,truck,emergency vehicle,approaching,50m,50km/h
22729,sunny,day,dry,20m,35km/h,50m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,10m,50km/h
22810,sunny,day,dry,20m,35km/h,50m,normal car,hurry (commute or flight),emergency vehicle,none,approaching,10m,30km/h
22859,sunny,day,dry,20m,35km/h,50m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,10m,50km/h
22988,sunny,day,dry,20m,35km/h,50m,truck,urgent (to hospital),emergency vehicle,none,approaching,10m,80km/h
23126,sunny,day,dry,20m,35km/h,50m,truck,hurry (commute or flight),truck,emergency vehicle,approaching,50m,50km/h
23178,sunny,day,dry,20m,35km/h,50m,truck,none,emergency vehicle,normal car,approaching,10m,80km/h
23231,sunny,day,dry,20m,35km/h,50m,emergency vehicle,urgent (to hospital),normal car,normal car,stopping,0m,0km/h
23341,sunny,day,dry,20m,35km/h,50m,emergency vehicle,hurry (commute or flight),emergency vehicle,none,stopping,0m,0km/h
23374,sunny,day,dry,20m,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,none,approaching,100m,30km/h
23589,sunny,day,dry,20m,35km/h,100m,normal car,hurry (commute or flight),normal car,none,approaching,10m,50km/h
23894,sunny,day,dry,20m,35km/h,100m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,30km/h
23973,sunny,day,dry,20m,35km/h,100m,truck,none,emergency vehicle,none,approaching,100m,50km/h
24228,sunny,day,dry,20m,35km/h,100m,emergency vehicle,none,normal car,normal car,approaching,10m,80km/h
24290,sunny,day,dry,20m,35km/h,100m,emergency vehicle,none,truck,normal car,approaching,10m,30km/h
24342,sunny,day,dry,20m,60km/h,50m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,100m,80km/h
25014,sunny,day,dry,20m,60km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
25018,sunny,day,dry,20m,60km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
25110,sunny,day,dry,20m,60km/h,50m,emergency vehicle,none,truck,emergency vehicle,approaching,10m,30km/h
25360,sunny,day,dry,20m,60km/h,100m,normal car,none,truck,none,approaching,10m,30km/h
25386,sunny,day,dry,20m,60km/h,100m,truck,urgent (to hospital),normal car,none,approaching,50m,50km/h
25661,sunny,day,dry,20m,60km/h,100m,emergency vehicle,urgent (to hospital),normal car,normal car,stopping,0m,0km/h
25877,sunny,day,dry,20m,60km/h,100m,emergency vehicle,none,emergency vehicle,normal car,approaching,50m,30km/h
26268,sunny,day,dry,20m,60km/h,150m,truck,urgent (to hospital),truck,normal car,approaching,10m,80km/h
26725,sunny,day,dry,20m,60km/h,150m,emergency vehicle,none,truck,emergency vehicle,approaching,50m,80km/h
27003,sunny,day,dry,20m,100km/h,100m,truck,urgent (to hospital),normal car,none,approaching,100m,50km/h
27186,sunny,day,dry,20m,100km/h,100m,truck,none,normal car,none,approaching,50m,50km/h
27360,sunny,day,dry,20m,100km/h,100m,emergency vehicle,urgent (to hospital),truck,emergency vehicle,approaching,10m,30km/h
27383,sunny,day,dry,20m,100km/h,100m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,100m,50km/h
27471,sunny,day,dry,20m,100km/h,100m,emergency vehicle,none,normal car,emergency vehicle,stopping,0m,0km/h
27521,sunny,day,dry,20m,100km/h,100m,emergency vehicle,none,truck,normal car,stopping,0m,0km/h
27689,sunny,day,dry,20m,100km/h,150m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,50km/h
27883,sunny,day,dry,20m,100km/h,150m,truck,urgent (to hospital),truck,normal car,approaching,100m,50km/h
27901,sunny,day,dry,20m,100km/h,150m,truck,hurry (commute or flight),normal car,none,stopping,0m,0km/h
28141,sunny,day,dry,20m,100km/h,150m,emergency vehicle,urgent (to hospital),truck,none,stopping,0m,0km/h
28268,sunny,day,dry,20m,100km/h,150m,emergency vehicle,none,normal car,none,approaching,10m,80km/h
28316,sunny,day,dry,20m,100km/h,150m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,50m,50km/h
28347,sunny,day,dry,20m,100km/h,150m,emergency vehicle,none,truck,emergency vehicle,approaching,50m,30km/h
28622,sunny,day,dry,20m,100km/h,200m,truck,urgent (to hospital),normal car,none,approaching,100m,80km/h
28707,sunny,day,dry,20m,100km/h,200m,truck,urgent (to hospital),truck,emergency vehicle,approaching,50m,30km/h
28922,sunny,day,dry,20m,100km/h,200m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,100m,80km/h
28959,sunny,day,dry,20m,100km/h,200m,emergency vehicle,urgent (to hospital),truck,none,approaching,10m,50km/h
29133,sunny,day,dry,20m,100km/h,200m,emergency vehicle,none,truck,none,approaching,100m,50km/h
29310,sunny,day,wet,free,35km/h,10m,normal car,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,10m,30km/h
29355,sunny,day,wet,free,35km/h,10m,normal car,none,normal car,normal car,approaching,50m,80km/h
29360,sunny,day,wet,free,35km/h,10m,normal car,none,normal car,normal car,approaching,10m,30km/h
29414,sunny,day,wet,free,35km/h,10m,normal car,none,truck,normal car,approaching,100m,30km/h
29982,sunny,day,wet,free,35km/h,50m,normal car,urgent (to hospital),normal car,normal car,approaching,100m,80km/h
30211,sunny,day,wet,free,35km/h,50m,normal car,none,truck,none,stopping,0m,0km/h
30335,sunny,day,wet,free,35km/h,50m,truck,hurry (commute or flight),normal car,none,approaching,50m,80km/h
30387,sunny,day,wet,free,35km/h,50m,truck,hurry (commute or flight),emergency vehicle,emergency vehicle,approaching,50m,30km/h
30606,sunny,day,wet,free,35km/h,50m,emergency vehicle,hurry (commute or flight),normal car,none,approaching,50m,50km/h
30665,sunny,day,wet,free,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,none,approaching,50m,80km/h
30671,sunny,day,wet,free,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,normal car,stopping,0m,0km/h
30688,sunny,day,wet,free,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,10m,80km/h
30810,sunny,day,wet,free,35km/h,100m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,10m,30km/h
30942,sunny,day,wet,free,35km/h,100m,normal car,hurry (commute or flight),truck,normal car,approaching,100m,80km/h
31115,sunny,day,wet,free,35km/h,100m,truck,urgent (to hospital),truck,none,approaching,50m,80km/h
31185,sunny,day,wet,free,35km/h,100m,truck,hurry (commute or flight),emergency vehicle,normal car,approaching,50m,80km/h
31904,sunny,day,wet,free,60km/h,50m,truck,urgent (to hospital),emergency vehicle,normal car,approaching,100m,30km/h
32082,sunny,day,wet,free,60km/h,50m,truck,none,emergency vehicle,normal car,approaching,100m,80km/h
32250,sunny,day,wet,free,60km/h,50m,emergency vehicle,hurry (commute or flight),normal car,emergency vehicle,approaching,10m,30km/h
32462,sunny,day,wet,free,60km/h,100m,normal car,urgent (to hospital),truck,none,approaching,100m,80km/h
32637,sunny,day,wet,free,60km/h,100m,normal car,none,emergency vehicle,emergency vehicle,approaching,50m,30km/h
32765,sunny,day,wet,free,60km/h,100m,truck,hurry (commute or flight),normal car,none,approaching,50m,80km/h
32918,sunny,day,wet,free,60km/h,100m,truck,none,truck,none,approaching,10m,80km/h
32933,sunny,day,wet,free,60km/h,100m,truck,none,truck,emergency vehicle,approaching,100m,50km/h
32972,sunny,day,wet,free,60km/h,100m,emergency vehicle,urgent (to hospital),emergency vehicle,none,approaching,100m,80km/h
33093,sunny,day,wet,free,60km/h,100m,emergency vehicle,hurry (commute or flight),truck,none,approaching,100m,50km/h
33493,sunny,day,wet,free,60km/h,150m,truck,urgent (to hospital),normal car,normal car,approaching,100m,50km/h
33563,sunny,day,wet,free,60km/h,150m,truck,urgent (to hospital),truck,emergency vehicle,approaching,100m,50km/h
33644,sunny,day,wet,free,60km/h,150m,truck,hurry (commute or flight),truck,normal car,approaching,100m,30km/h
33812,sunny,day,wet,free,60km/h,150m,emergency vehicle,urgent (to hospital),truck,none,approaching,100m,80km/h
34066,sunny,day,wet,free,100km/h,100m,normal car,urgent (to hospital),emergency vehicle,normal car,approaching,50m,50km/h
34103,sunny,day,wet,free,100km/h,100m,normal car,urgent (to hospital),truck,emergency vehicle,approaching,100m,50km/h
34340,sunny,day,wet,free,100km/h,100m,truck,urgent (to hospital),emergency vehicle,normal car,approaching,10m,30km/h
34361,sunny,day,wet,free,100km/h,100m,truck,urgent (to hospital),truck,normal car,stopping,0m,0km/h
34393,sunny,day,wet,free,100km/h,100m,truck,hurry (commute or flight),normal car,normal car,approaching,100m,50km/h
34477,sunny,day,wet,free,100km/h,100m,truck,none,normal car,none,approaching,50m,30km/h
34479,sunny,day,wet,free,100km/h,100m,truck,none,normal car,none,approaching,10m,50km/h
35088,sunny,day,wet,free,100km/h,150m,normal car,none,truck,normal car,approaching,10m,80km/h
35366,sunny,day,wet,free,100km/h,150m,truck,none,truck,emergency vehicle,approaching,50m,50km/h
35799,sunny,day,wet,free,100km/h,200m,normal car,hurry (commute or flight),truck,none,approaching,10m,50km/h
35956,sunny,day,wet,free,100km/h,200m,truck,urgent (to hospital),emergency vehicle,normal car,approaching,50m,50km/h
36079,sunny,day,wet,free,100km/h,200m,truck,hurry (commute or flight),truck,normal car,approaching,10m,50km/h
36210,sunny,day,wet,free,100km/h,200m,emergency vehicle,urgent (to hospital),normal car,emergency vehicle,approaching,10m,30km/h
36227,sunny,day,wet,free,100km/h,200m,emergency vehicle,urgent (to hospital),emergency vehicle,normal car,approaching,50m,30km/h
36252,sunny,day,wet,free,100km/h,200m,emergency vehicle,urgent (to hospital),truck,normal car,approaching,100m,80km/h
37227,sunny,day,wet,100m,35km/h,10m,emergency vehicle,none,emergency vehicle,emergency vehicle,approaching,50m,30km/h
37284,sunny,day,wet,100m,35km/h,50m,normal car,urgent (to hospital),normal car,emergency vehicle,approaching,100m,30km/h
37452,sunny,day,wet,100m,35km/h,50m,normal car,none,normal car,normal car,approaching,100m,80km/h
37514,sunny,day,wet,100m,35km/h,50m,normal car,none,truck,normal car,approaching,100m,30km/h
37539,sunny,day,wet,100m,35km/h,50m,truck,urgent (to hospital),normal car,none,approaching,10m,50km/h
37569,sunny,day,wet,100m,35km/h,50m,truck,urgent (to hospital),emergency vehicle,none,approaching,10m,50km/h
37641,sunny,day,wet,100m,35km/h,50m,truck,hurry (commute or flight),normal car,emergency vehicle,stopping,0m,0km/h
37899,sunny,day,wet,100m,35km/h,50m,emergency vehicle,hurry (commute or flight),normal car,none,approaching,10m,50km/h
37974,sunny,day,wet,100m,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,100m,30km/h
37979,sunny,day,wet,100m,35km/h,50m,emergency vehicle,hurry (commute or flight),truck,emergency vehicle,approaching,10m,50km/h
37981,sunny,day,wet,100m,35km/h,50m,emergency vehicle,none,normal car,none,stopping,0m,0km/h
38150,sunny,day,wet,100m,35km/h,100m,normal car,urgent (to hospital),truck,normal car,approaching,10m,30km/h
38180,sunny,day,wet,100m,35km/h,100m,normal car,hurry (commute or flight),normal car,normal car,approaching,10m,30km/h
38364,sunny,day,wet,100m,35km/h,100m,truck,urgent (to hospital),normal car,emergency vehicle,approaching,100m,30km/h
38956,sunny,day,wet,100m,60km/h,50m,normal car,urgent (to hospital),truck,normal car,approaching,50m,50km/h
39055,sunny,day,wet,100m,60km/h,50m,normal car,hurry (commute or flight),truck,emergency vehicle,approaching,50m,80km/h
39101,sunny,day,wet,100m,60km/h,50m,normal car,none,emergency vehicle,normal car,stopping,0m,0km/h
39580,sunny,day,wet,100m,60km/h,50m,emergency vehicle,hurry (commute or flight),truck,none,approaching,10m,30km/h
39640,sunny,day,wet,100m,60km/h,50m,emergency vehicle,none,emergency vehicle,none,approaching,10m,30km/h
39823,sunny,day,wet,100m,60km/h,100m,normal car,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,50km/h
39930,sunny,day,wet,100m,60km/h,100m,normal car,none,emergency vehicle,emergency vehicle,approaching,10m,30km/h
39999,sunny,day,wet,100m,60km/h,100m,truck,urgent (to hospital),emergency vehicle,none,approaching,10m,50km/h
40091,sunny,day,wet,100m,60km/h,100m,truck,hurry (commute or flight),emergency vehicle,normal car,stopping,0m,0km/h
40288,sunny,day,wet,100m,60km/h,100m,emergency vehicle,urgent (to hospital),emergency vehicle,emergency vehicle,approaching,10m,80km/h
40363,sunny,day,wet,100m,60km/h,100m,emergency vehicle,hurry (commute or flight),emergency vehicle,normal car,approaching,100m,50km/h
