id,Météo,Moment de la journée,État de la route,Espace devant sur voie principale,Vitesse sur voie principale,Distance sur voie principale,Type de véhicule sur voie principale,Besoin du passager,Rôle du véhicule autonome,Type de véhicule suivant,État du véhicule,Distance jusqu'au point de fusion,Vitesse du véhicule
239,Ensoleillé,Jour,Sec,Libre,35 km/h,10 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,10 mètres,50 km/h
664,Ensoleillé,Jour,Sec,Libre,35 km/h,10 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Aucun,En approche,100 mètres,30 km/h
714,Ensoleillé,Jour,Sec,Libre,35 km/h,10 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
789,Ensoleillé,Jour,Sec,Libre,35 km/h,10 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Aucun,En approche,10 mètres,50 km/h
872,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Voiture,Urgent (transport médical),Camion,Aucun,En approche,100 mètres,80 km/h
1157,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Camion,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,30 km/h
1198,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Camion,Pressé (travail/vol),Voiture,Véhicule prioritaire,En approche,10 mètres,80 km/h
1394,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
1412,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Aucun,En approche,100 mètres,80 km/h
1417,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Aucun,En approche,50 mètres,30 km/h
1520,Ensoleillé,Jour,Sec,Libre,35 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Voiture,En approche,10 mètres,30 km/h
1636,Ensoleillé,Jour,Sec,Libre,35 km/h,100 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,50 km/h
1708,Ensoleillé,Jour,Sec,Libre,35 km/h,100 mètres,Voiture,Urgent (transport médical),Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
2103,Ensoleillé,Jour,Sec,Libre,35 km/h,100 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,100 mètres,50 km/h
2158,Ensoleillé,Jour,Sec,Libre,35 km/h,100 mètres,Camion,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,80 km/h
2505,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Voiture,Urgent (transport médical),Camion,Voiture,En approche,50 mètres,80 km/h
2807,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Camion,Pressé (travail/vol),Voiture,Voiture,En approche,50 mètres,30 km/h
2990,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Voiture,En approche,10 mètres,30 km/h
3000,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Voiture,Véhicule prioritaire,En approche,10 mètres,30 km/h
3011,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,À l'arrêt,0 mètre,0 km/h
3017,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,50 mètres,30 km/h
3064,Ensoleillé,Jour,Sec,Libre,60 km/h,50 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Aucun,En approche,100 mètres,30 km/h
3712,Ensoleillé,Jour,Sec,Libre,60 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,80 km/h
3914,Ensoleillé,Jour,Sec,Libre,60 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
3953,Ensoleillé,Jour,Sec,Libre,60 km/h,100 mètres,Véhicule prioritaire,Pressé (travail/vol),Camion,Véhicule prioritaire,En approche,100 mètres,50 km/h
3983,Ensoleillé,Jour,Sec,Libre,60 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Voiture,Véhicule prioritaire,En approche,100 mètres,50 km/h
4050,Ensoleillé,Jour,Sec,Libre,60 km/h,100 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,10 mètres,30 km/h
4094,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,30 km/h
4248,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Voiture,Pas de besoin particulier,Voiture,Voiture,En approche,10 mètres,80 km/h
4404,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Camion,Urgent (transport médical),Camion,Véhicule prioritaire,En approche,100 mètres,30 km/h
4689,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Véhicule prioritaire,Pressé (travail/vol),Voiture,Aucun,En approche,10 mètres,50 km/h
4730,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,10 mètres,30 km/h
4856,Ensoleillé,Jour,Sec,Libre,60 km/h,150 mètres,Véhicule prioritaire,Pas de besoin particulier,Camion,Véhicule prioritaire,En approche,50 mètres,50 km/h
4947,Ensoleillé,Jour,Sec,Libre,100 km/h,100 mètres,Voiture,Urgent (transport médical),Camion,Véhicule prioritaire,En approche,50 mètres,30 km/h
5029,Ensoleillé,Jour,Sec,Libre,100 km/h,100 mètres,Voiture,Pressé (travail/vol),Camion,Voiture,En approche,10 mètres,50 km/h
5299,Ensoleillé,Jour,Sec,Libre,100 km/h,100 mètres,Camion,Pressé (travail/vol),Camion,Voiture,En approche,10 mètres,50 km/h
5325,Ensoleillé,Jour,Sec,Libre,100 km/h,100 mètres,Camion,Pas de besoin particulier,Voiture,Voiture,En approche,50 mètres,80 km/h
5961,Ensoleillé,Jour,Sec,Libre,100 km/h,150 mètres,Camion,Urgent (transport médical),Voiture,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
6514,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Voiture,Urgent (transport médical),Véhicule prioritaire,Aucun,En approche,100 mètres,30 km/h
6577,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Voiture,Pressé (travail/vol),Voiture,Aucun,En approche,50 mètres,30 km/h
6793,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
6807,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Camion,Urgent (transport médical),Véhicule prioritaire,Véhicule prioritaire,En approche,50 mètres,30 km/h
7093,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Véhicule prioritaire,Urgent (transport médical),Camion,Voiture,En approche,100 mètres,50 km/h
7159,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,10 mètres,50 km/h
7163,Ensoleillé,Jour,Sec,Libre,100 km/h,200 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,50 km/h
7691,Ensoleillé,Jour,Sec,100 mètres,35 km/h,10 mètres,Camion,Pressé (travail/vol),Véhicule prioritaire,Voiture,À l'arrêt,0 mètre,0 km/h
7719,Ensoleillé,Jour,Sec,100 mètres,35 km/h,10 mètres,Camion,Pressé (travail/vol),Camion,Aucun,En approche,10 mètres,50 km/h
7731,Ensoleillé,Jour,Sec,100 mètres,35 km/h,10 mètres,Camion,Pressé (travail/vol),Camion,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
7773,Ensoleillé,Jour,Sec,100 mètres,35 km/h,10 mètres,Camion,Pas de besoin particulier,Véhicule prioritaire,Aucun,En approche,100 mètres,50 km/h
7963,Ensoleillé,Jour,Sec,100 mètres,35 km/h,10 mètres,Véhicule prioritaire,Pressé (travail/vol),Véhicule prioritaire,Voiture,En approche,100 mètres,50 km/h
8115,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Voiture,Urgent (transport médical),Voiture,Voiture,En approche,50 mètres,80 km/h
8271,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Voiture,Pressé (travail/vol),Camion,Véhicule prioritaire,À l'arrêt,0 mètre,0 km/h
8334,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Voiture,Pas de besoin particulier,Véhicule prioritaire,Véhicule prioritaire,En approche,100 mètres,30 km/h
8356,Ensoleillé,Jour,Sec,100 mètres,35 km/h,50 mètres,Voiture,Pas de besoin particulier,Camion,Voiture,En approche,50 mètres,50 km/h
