id,天气,时间,路况,并车车速,并车与本车距,并车车辆类型,主车道前方空隙,乘客需求,本车角色,本车状态,本车距合流点距离,本车速度,后车类型
124,晴天,白天,干燥,35公里/小时,10米,普通轿车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,普通轿车
273,晴天,白天,干燥,35公里/小时,10米,卡车,畅通,紧急（送医）,应急车辆,接近中,100米,30公里/小时,无
309,晴天,白天,干燥,35公里/小时,10米,卡车,畅通,紧急（送医）,卡车,接近中,100米,30公里/小时,普通轿车
484,晴天,白天,干燥,35公里/小时,10米,卡车,畅通,无特殊需求,卡车,接近中,10米,80公里/小时,应急车辆
598,晴天,白天,干燥,35公里/小时,10米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,50米,80公里/小时,无
669,晴天,白天,干燥,35公里/小时,10米,应急车辆,畅通,无特殊需求,普通轿车,接近中,100米,30公里/小时,应急车辆
796,晴天,白天,干燥,35公里/小时,50米,普通轿车,畅通,紧急（送医）,卡车,接近中,50米,80公里/小时,普通轿车
810,晴天,白天,干燥,35公里/小时,50米,普通轿车,畅通,紧急（送医）,卡车,接近中,10米,30公里/小时,应急车辆
948,晴天,白天,干燥,35公里/小时,50米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,30公里/小时,无
1037,晴天,白天,干燥,35公里/小时,50米,卡车,畅通,紧急（送医）,卡车,接近中,100米,50公里/小时,普通轿车
1070,晴天,白天,干燥,35公里/小时,50米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,50公里/小时,普通轿车
1091,晴天,白天,干燥,35公里/小时,50米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,50公里/小时,普通轿车
1412,晴天,白天,干燥,35公里/小时,50米,应急车辆,畅通,无特殊需求,应急车辆,接近中,10米,50公里/小时,无
1660,晴天,白天,干燥,35公里/小时,100米,普通轿车,畅通,无特殊需求,应急车辆,接近中,50米,80公里/小时,普通轿车
1765,晴天,白天,干燥,35公里/小时,100米,卡车,畅通,紧急（送医）,卡车,接近中,100米,80公里/小时,普通轿车
1854,晴天,白天,干燥,35公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,10米,30公里/小时,普通轿车
1902,晴天,白天,干燥,35公里/小时,100米,卡车,畅通,无特殊需求,应急车辆,接近中,100米,30公里/小时,普通轿车
1924,晴天,白天,干燥,35公里/小时,100米,卡车,畅通,无特殊需求,卡车,接近中,10米,80公里/小时,无
2000,晴天,白天,干燥,35公里/小时,100米,应急车辆,畅通,紧急（送医）,卡车,接近中,100米,50公里/小时,无
2114,晴天,白天,干燥,35公里/小时,100米,应急车辆,畅通,无特殊需求,普通轿车,接近中,10米,50公里/小时,无
2260,晴天,白天,干燥,60公里/小时,50米,普通轿车,畅通,紧急（送医）,卡车,接近中,100米,80公里/小时,应急车辆
2539,晴天,白天,干燥,60公里/小时,50米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,80公里/小时,无
2628,晴天,白天,干燥,60公里/小时,50米,卡车,畅通,无特殊需求,应急车辆,接近中,10米,30公里/小时,无
2696,晴天,白天,干燥,60公里/小时,50米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,50米,50公里/小时,应急车辆
2761,晴天,白天,干燥,60公里/小时,50米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,80公里/小时,无
2842,晴天,白天,干燥,60公里/小时,50米,应急车辆,畅通,无特殊需求,普通轿车,接近中,10米,80公里/小时,无
3124,晴天,白天,干燥,60公里/小时,100米,普通轿车,畅通,无特殊需求,应急车辆,接近中,100米,80公里/小时,应急车辆
3234,晴天,白天,干燥,60公里/小时,100米,卡车,畅通,紧急（送医）,卡车,接近中,100米,30公里/小时,应急车辆
3292,晴天,白天,干燥,60公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,80公里/小时,应急车辆
3554,晴天,白天,干燥,60公里/小时,100米,应急车辆,畅通,赶时间（通勤/赶飞机）,卡车,接近中,10米,50公里/小时,普通轿车
3816,晴天,白天,干燥,60公里/小时,150米,普通轿车,畅通,无特殊需求,普通轿车,接近中,10米,30公里/小时,无
3947,晴天,白天,干燥,60公里/小时,150米,卡车,畅通,紧急（送医）,卡车,接近中,50米,50公里/小时,无
4104,晴天,白天,干燥,60公里/小时,150米,卡车,畅通,无特殊需求,应急车辆,接近中,10米,30公里/小时,应急车辆
4233,晴天,白天,干燥,60公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,100米,30公里/小时,应急车辆
4271,晴天,白天,干燥,60公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,卡车,接近中,50米,50公里/小时,无
4418,晴天,白天,干燥,100公里/小时,100米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,10米,50公里/小时,普通轿车
4679,晴天,白天,干燥,100公里/小时,100米,卡车,畅通,紧急（送医）,卡车,接近中,10米,50公里/小时,无
4753,晴天,白天,干燥,100公里/小时,100米,卡车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,100米,80公里/小时,无
4860,晴天,白天,干燥,100公里/小时,100米,卡车,畅通,无特殊需求,卡车,接近中,10米,30公里/小时,应急车辆
4875,晴天,白天,干燥,100公里/小时,100米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,50米,30公里/小时,普通轿车
4980,晴天,白天,干燥,100公里/小时,100米,应急车辆,畅通,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,30公里/小时,普通轿车
5059,晴天,白天,干燥,100公里/小时,100米,应急车辆,畅通,无特殊需求,应急车辆,接近中,100米,80公里/小时,普通轿车
5132,晴天,白天,干燥,100公里/小时,150米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,100米,50公里/小时,无
5134,晴天,白天,干燥,100公里/小时,150米,普通轿车,畅通,紧急（送医）,应急车辆,接近中,50米,80公里/小时,无
5309,晴天,白天,干燥,100公里/小时,150米,普通轿车,畅通,无特殊需求,应急车辆,接近中,10米,50公里/小时,普通轿车
5501,晴天,白天,干燥,100公里/小时,150米,卡车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,100米,50公里/小时,应急车辆
5596,晴天,白天,干燥,100公里/小时,150米,应急车辆,畅通,紧急（送医）,普通轿车,接近中,10米,80公里/小时,无
5694,晴天,白天,干燥,100公里/小时,150米,应急车辆,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,应急车辆
5760,晴天,白天,干燥,100公里/小时,150米,应急车辆,畅通,无特殊需求,普通轿车,接近中,10米,30公里/小时,无
5859,晴天,白天,干燥,100公里/小时,200米,普通轿车,畅通,紧急（送医）,普通轿车,接近中,10米,30公里/小时,应急车辆
6059,晴天,白天,干燥,100公里/小时,200米,普通轿车,畅通,无特殊需求,卡车,接近中,100米,50公里/小时,普通轿车
6173,晴天,白天,干燥,100公里/小时,200米,卡车,畅通,赶时间（通勤/赶飞机）,普通轿车,接近中,10米,50公里/小时,普通轿车
6214,晴天,白天,干燥,100公里/小时,200米,卡车,畅通,赶时间（通勤/赶飞机）,卡车,接近中,50米,80公里/小时,无
6316,晴天,白天,干燥,100公里/小时,200米,卡车,畅通,无特殊需求,卡车,接近中,10米,80公里/小时,应急车辆
6383,晴天,白天,干燥,100公里/小时,200米,应急车辆,畅通,紧急（送医）,卡车,接近中,100米,50公里/小时,普通轿车
6822,晴天,白天,干燥,35公里/小时,10米,卡车,100米,紧急（送医）,普通轿车,接近中,10米,30公里/小时,普通轿车
7073,晴天,白天,干燥,35公里/小时,10米,应急车辆,100米,紧急（送医）,普通轿车,接近中,10米,50公里/小时,应急车辆
7078,晴天,白天,干燥,35公里/小时,10米,应急车辆,100米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,无
7096,晴天,白天,干燥,35公里/小时,10米,应急车辆,100米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,应急车辆
7525,晴天,白天,干燥,35公里/小时,50米,普通轿车,100米,无特殊需求,卡车,接近中,100米,80公里/小时,应急车辆
7585,晴天,白天,干燥,35公里/小时,50米,卡车,100米,紧急（送医）,应急车辆,接近中,10米,80公里/小时,应急车辆
7644,晴天,白天,干燥,35公里/小时,50米,卡车,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,100米,30公里/小时,无
7816,晴天,白天,干燥,35公里/小时,50米,应急车辆,100米,紧急（送医）,应急车辆,接近中,50米,80公里/小时,普通轿车
7911,晴天,白天,干燥,35公里/小时,50米,应急车辆,100米,赶时间（通勤/赶飞机）,应急车辆,接近中,10米,30公里/小时,应急车辆
8115,晴天,白天,干燥,35公里/小时,100米,普通轿车,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,30公里/小时,普通轿车
8263,晴天,白天,干燥,35公里/小时,100米,卡车,100米,紧急（送医）,普通轿车,接近中,100米,80公里/小时,无
8267,晴天,白天,干燥,35公里/小时,100米,卡车,100米,紧急（送医）,普通轿车,接近中,50米,50公里/小时,无
8534,晴天,白天,干燥,35公里/小时,100米,应急车辆,100米,紧急（送医）,应急车辆,接近中,100米,50公里/小时,无
8599,晴天,白天,干燥,35公里/小时,100米,应急车辆,100米,赶时间（通勤/赶飞机）,普通轿车,接近中,50米,80公里/小时,普通轿车
8749,晴天,白天,干燥,60公里/小时,50米,普通轿车,100米,紧急（送医）,普通轿车,接近中,100米,80公里/小时,无
8932,晴天,白天,干燥,60公里/小时,50米,普通轿车,100米,无特殊需求,普通轿车,接近中,50米,80公里/小时,应急车辆
9062,晴天,白天,干燥,60公里/小时,50米,卡车,100米,紧急（送医）,卡车,接近中,10米,50公里/小时,普通轿车
9254,晴天,白天,干燥,60公里/小时,50米,应急车辆,100米,紧急（送医）,普通轿车,接近中,100米,50公里/小时,应急车辆
9498,晴天,白天,干燥,60公里/小时,100米,普通轿车,100米,紧急（送医）,普通轿车,接近中,100米,30公里/小时,应急车辆
9656,晴天,白天,干燥,60公里/小时,100米,普通轿车,100米,无特殊需求,普通轿车,接近中,10米,50公里/小时,普通轿车
9787,晴天,白天,干燥,60公里/小时,100米,卡车,100米,紧急（送医）,卡车,接近中,50米,80公里/小时,普通轿车
