id,weather,time,road_condition,merging_vehicle_speed,merging_gap,merging_vehicle_type,mainstream_front_space,occupant_requirement,ego_role,ego_state,ego_distance,ego_velocity,following_vehicle
124,sunny,day,dry,35km/h,10m,normal car,free,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,normal car
273,sunny,day,dry,35km/h,10m,truck,free,urgent (to hospital),emergency vehicle,approaching,100m,30km/h,none
309,sunny,day,dry,35km/h,10m,truck,free,urgent (to hospital),truck,approaching,100m,30km/h,normal car
484,sunny,day,dry,35km/h,10m,truck,free,none,truck,approaching,10m,80km/h,emergency vehicle
598,sunny,day,dry,35km/h,10m,emergency vehicle,free,hurry (commute or flight),emergency vehicle,approaching,50m,80km/h,none
669,sunny,day,dry,35km/h,10m,emergency vehicle,free,none,normal car,approaching,100m,30km/h,emergency vehicle
796,sunny,day,dry,35km/h,50m,normal car,free,urgent (to hospital),truck,approaching,50m,80km/h,normal car
810,sunny,day,dry,35km/h,50m,normal car,free,urgent (to hospital),truck,approaching,10m,30km/h,emergency vehicle
948,sunny,day,dry,35km/h,50m,normal car,free,none,truck,approaching,100m,30km/h,none
1037,sunny,day,dry,35km/h,50m,truck,free,urgent (to hospital),truck,approaching,100m,50km/h,normal car
1070,sunny,day,dry,35km/h,50m,truck,free,hurry (commute or flight),normal car,approaching,10m,50km/h,normal car
1091,sunny,day,dry,35km/h,50m,truck,free,hurry (commute or flight),emergency vehicle,approaching,100m,50km/h,normal car
1412,sunny,day,dry,35km/h,50m,emergency vehicle,free,none,emergency vehicle,approaching,10m,50km/h,none
1660,sunny,day,dry,35km/h,100m,normal car,free,none,emergency vehicle,approaching,50m,80km/h,normal car
1765,sunny,day,dry,35km/h,100m,truck,free,urgent (to hospital),truck,approaching,100m,80km/h,normal car
1854,sunny,day,dry,35km/h,100m,truck,free,hurry (commute or flight),truck,approaching,10m,30km/h,normal car
1902,sunny,day,dry,35km/h,100m,truck,free,none,emergency vehicle,approaching,100m,30km/h,normal car
1924,sunny,day,dry,35km/h,100m,truck,free,none,truck,approaching,10m,80km/h,none
2000,sunny,day,dry,35km/h,100m,emergency vehicle,free,urgent (to hospital),truck,approaching,100m,50km/h,none
2114,sunny,day,dry,35km/h,100m,emergency vehicle,free,none,normal car,approaching,10m,50km/h,none
2260,sunny,day,dry,60km/h,50m,normal car,free,urgent (to hospital),truck,approaching,100m,80km/h,emergency vehicle
2539,sunny,day,dry,60km/h,50m,truck,free,hurry (commute or flight),emergency vehicle,approaching,100m,80km/h,none
2628,sunny,day,dry,60km/h,50m,truck,free,none,emergency vehicle,approaching,10m,30km/h,none
2696,sunny,day,dry,60km/h,50m,emergency vehicle,free,urgent (to hospital),normal car,approaching,50m,50km/h,emergency vehicle
2761,sunny,day,dry,60km/h,50m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,10m,80km/h,none
2842,sunny,day,dry,60km/h,50m,emergency vehicle,free,none,normal car,approaching,10m,80km/h,none
3124,sunny,day,dry,60km/h,100m,normal car,free,none,emergency vehicle,approaching,100m,80km/h,emergency vehicle
3234,sunny,day,dry,60km/h,100m,truck,free,urgent (to hospital),truck,approaching,100m,30km/h,emergency vehicle
3292,sunny,day,dry,60km/h,100m,truck,free,hurry (commute or flight),emergency vehicle,approaching,10m,80km/h,emergency vehicle
3554,sunny,day,dry,60km/h,100m,emergency vehicle,free,hurry (commute or flight),truck,approaching,10m,50km/h,normal car
3816,sunny,day,dry,60km/h,150m,normal car,free,none,normal car,approaching,10m,30km/h,none
3947,sunny,day,dry,60km/h,150m,truck,free,urgent (to hospital),truck,approaching,50m,50km/h,none
4104,sunny,day,dry,60km/h,150m,truck,free,none,emergency vehicle,approaching,10m,30km/h,emergency vehicle
4233,sunny,day,dry,60km/h,150m,emergency vehicle,free,hurry (commute or flight),normal car,approaching,100m,30km/h,emergency vehicle
4271,sunny,day,dry,60km/h,150m,emergency vehicle,free,hurry (commute or flight),truck,approaching,50m,50km/h,none
4418,sunny,day,dry,100km/h,100m,normal car,free,urgent (to hospital),emergency vehicle,approaching,10m,50km/h,normal car
4679,sunny,day,dry,100km/h,100m,truck,free,urgent (to hospital),truck,approaching,10m,50km/h,none
4753,sunny,day,dry,100km/h,100m,truck,free,hurry (commute or flight),truck,approaching,100m,80km/h,none
4860,sunny,day,dry,100km/h,100m,truck,free,none,truck,approaching,10m,30km/h,emergency vehicle
