id,Météo,Moment de la journée,État de la route,Vitesse du véhicule en insertion,Distance du véhicule en insertion,Type de véhicule en insertion,Espace devant sur la voie principale,Besoin du passager,Rôle du véhicule ego,État du véhicule ego,Distance du véhicule ego,Vitesse du véhicule ego,Véhicule suiveur
124,ensoleillé,jour,sec,35 km/h,10 m,voiture,libre,pressé (travail ou vol),véhicule prioritaire,en approche,10 m,80 km/h,voiture
273,ensoleillé,jour,sec,35 km/h,10 m,camion,libre,urgence (vers l'hôpital),véhicule prioritaire,en approche,100 m,30 km/h,aucun
309,ensoleillé,jour,sec,35 km/h,10 m,camion,libre,urgence (vers l'hôpital),camion,en approche,100 m,30 km/h,voiture
484,ensoleillé,jour,sec,35 km/h,10 m,camion,libre,aucune,camion,en approche,10 m,80 km/h,véhicule prioritaire
598,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,libre,pressé (travail ou vol),véhicule prioritaire,en approche,50 m,80 km/h,aucun
669,ensoleillé,jour,sec,35 km/h,10 m,véhicule prioritaire,libre,aucune,voiture,en approche,100 m,30 km/h,véhicule prioritaire
796,ensoleillé,jour,sec,35 km/h,50 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,50 m,80 km/h,voiture
810,ensoleillé,jour,sec,35 km/h,50 m,voiture,libre,urgence (vers l'hôpital),camion,en approche,10 m,30 km/h,véhicule prioritaire
948,ensoleillé,jour,sec,35 km/h,50 m,voiture,libre,aucune,camion,en approche,100 m,30 km/h,aucun
1037,ensoleillé,jour,sec,35 km/h,50 m,camion,libre,urgence (vers l'hôpital),camion,en approche,100 m,50 km/h,voiture
1070,ensoleillé,jour,sec,35 km/h,50 m,camion,libre,pressé (travail ou vol),voiture,en approche,10 m,50 km/h,voiture
1091,ensoleillé,jour,sec,35 km/h,50 m,camion,libre,pressé (travail ou vol),véhicule prioritaire,en approche,100 m,50 km/h,voiture
1412,ensoleillé,jour,sec,35 km/h,50 m,véhicule prioritaire,libre,aucune,véhicule prioritaire,en approche,10 m,50 km/h,aucun
1660,ensoleillé,jour,sec,35 km/h,100 m,voiture,libre,aucune,véhicule prioritaire,en approche,50 m,80 km/h,voiture
