id,天气,时间,路况,自行车前方空隙,骑车人类型,骑车人位置,与骑车人距离,本车速度,本车角色,乘客需求,后车类型
1,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,紧急（去医院）,无
2,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,无
3,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,紧急（去医院）,无
4,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,无
5,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,紧急（去医院）,普通车辆
6,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,普通车辆
7,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,紧急（去医院）,普通车辆
8,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,普通车辆
9,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,普通车辆,紧急（去医院）,应急车辆
10,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,应急车辆
11,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,普通车辆,紧急（去医院）,应急车辆
12,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,应急车辆
13,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,紧急（去医院）,无
14,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,无
15,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,紧急（去医院）,无
16,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,无
17,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
18,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
19,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
20,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,普通车辆
21,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,应急车辆,紧急（去医院）,应急车辆
22,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,应急车辆
23,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,应急车辆,紧急（去医院）,应急车辆
24,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,应急车辆,紧急（去医院）,应急车辆
25,晴天,白天,干燥,无车辆,成年人,车道中间,10米,25km/h,卡车,紧急（去医院）,无
26,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,25km/h,卡车,紧急（去医院）,无
27,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,紧急（去医院）,无
28,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,紧急（去医院）,无
