id,weather,time,road_condition,bicycle_front_space,bicycle_rider,bicycle_position,dist_bicycle,ego_vehicle_speed,ego_role,occupant_requirement,following_vehicle
1,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,normal car,urgent (to hospital),none
2,sunny,day,dry,free,adult,right of the lane,10m,25km/h,normal car,urgent (to hospital),none
3,sunny,day,dry,free,children,middle of the lane,10m,25km/h,normal car,urgent (to hospital),none
4,sunny,day,dry,free,children,right of the lane,10m,25km/h,normal car,urgent (to hospital),none
5,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,normal car,urgent (to hospital),normal car
6,sunny,day,dry,free,adult,right of the lane,10m,25km/h,normal car,urgent (to hospital),normal car
7,sunny,day,dry,free,children,middle of the lane,10m,25km/h,normal car,urgent (to hospital),normal car
8,sunny,day,dry,free,children,right of the lane,10m,25km/h,normal car,urgent (to hospital),normal car
9,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,normal car,urgent (to hospital),emergency vehicle
10,sunny,day,dry,free,adult,right of the lane,10m,25km/h,normal car,urgent (to hospital),emergency vehicle
11,sunny,day,dry,free,children,middle of the lane,10m,25km/h,normal car,urgent (to hospital),emergency vehicle
12,sunny,day,dry,free,children,right of the lane,10m,25km/h,normal car,urgent (to hospital),emergency vehicle
13,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),none
14,sunny,day,dry,free,adult,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),none
15,sunny,day,dry,free,children,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),none
16,sunny,day,dry,free,children,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),none
17,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
18,sunny,day,dry,free,adult,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
19,sunny,day,dry,free,children,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
20,sunny,day,dry,free,children,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),normal car
21,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
22,sunny,day,dry,free,adult,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
23,sunny,day,dry,free,children,middle of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
24,sunny,day,dry,free,children,right of the lane,10m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
25,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,truck,urgent (to hospital),none
26,sunny,day,dry,free,adult,right of the lane,10m,25km/h,truck,urgent (to hospital),none
27,sunny,day,dry,free,children,middle of the lane,10m,25km/h,truck,urgent (to hospital),none
28,sunny,day,dry,free,children,right of the lane,10m,25km/h,truck,urgent (to hospital),none
29,sunny,day,dry,free,adult,middle of the lane,10m,25km/h,truck,urgent (to hospital),normal car
