id,Météo,Moment de la journée,État de la route,Espace devant le cycliste,Type de cycliste,Position du cycliste,Distance au cycliste,Vitesse du véhicule ego,Rôle du véhicule ego,Besoin du passager,Véhicule suiveur
1,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
2,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
3,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
4,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
5,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
6,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
7,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
8,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
9,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
10,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
11,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
12,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
13,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
14,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
15,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
16,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
17,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
18,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
19,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
20,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
21,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
22,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
23,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
24,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
25,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),aucun
26,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),aucun
27,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),aucun
28,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),aucun
29,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),voiture normale
30,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),voiture normale
31,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),voiture normale
32,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),voiture normale
33,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
34,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
35,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
36,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
37,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,25km/h,voiture normale,pressé (trajet ou vol),aucun
