id,天气,时间,路况,自行车前方空隙,骑车人类型,骑车人位置,与骑车人距离,本车速度,本车角色,乘客需求,后车类型
32,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,25km/h,卡车,紧急（去医院）,普通车辆
35,晴天,白天,干燥,无车辆,儿童,车道中间,10米,25km/h,卡车,紧急（去医院）,应急车辆
116,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,普通车辆
120,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,普通车辆,紧急（去医院）,应急车辆
128,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,应急车辆,紧急（去医院）,普通车辆
134,晴天,白天,干燥,无车辆,成年人,车道右侧,50米,25km/h,卡车,紧急（去医院）,无
140,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,25km/h,卡车,紧急（去医院）,普通车辆
181,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,普通车辆,无特殊需求,无
209,晴天,白天,干燥,无车辆,成年人,车道中间,50米,25km/h,卡车,无特殊需求,普通车辆
219,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,无
248,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,卡车,紧急（去医院）,普通车辆
252,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,卡车,紧急（去医院）,应急车辆
266,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
291,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,普通车辆,无特殊需求,无
314,晴天,白天,干燥,无车辆,成年人,车道右侧,100米,25km/h,卡车,无特殊需求,无
323,晴天,白天,干燥,无车辆,儿童,车道中间,100米,25km/h,卡车,无特殊需求,应急车辆
324,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,25km/h,卡车,无特殊需求,应急车辆
327,晴天,白天,干燥,无车辆,儿童,车道中间,10米,50km/h,普通车辆,紧急（去医院）,无
342,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,50km/h,应急车辆,紧急（去医院）,普通车辆
352,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,50km/h,卡车,紧急（去医院）,无
384,晴天,白天,干燥,无车辆,儿童,车道右侧,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
386,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,50km/h,卡车,赶时间（通勤或赶飞机）,无
409,晴天,白天,干燥,无车辆,成年人,车道中间,10米,50km/h,应急车辆,无特殊需求,无
410,晴天,白天,干燥,无车辆,成年人,车道右侧,10米,50km/h,应急车辆,无特殊需求,无
439,晴天,白天,干燥,无车辆,儿童,车道中间,50米,50km/h,普通车辆,紧急（去医院）,普通车辆
448,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,50km/h,应急车辆,紧急（去医院）,无
452,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,50km/h,应急车辆,紧急（去医院）,普通车辆
475,晴天,白天,干燥,无车辆,儿童,车道中间,50米,50km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
483,晴天,白天,干燥,无车辆,儿童,车道中间,50米,50km/h,应急车辆,赶时间（通勤或赶飞机）,无
485,晴天,白天,干燥,无车辆,成年人,车道中间,50米,50km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
504,晴天,白天,干燥,无车辆,儿童,车道右侧,50米,50km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
521,晴天,白天,干燥,无车辆,成年人,车道中间,50米,50km/h,应急车辆,无特殊需求,普通车辆
539,晴天,白天,干燥,无车辆,儿童,车道中间,50米,50km/h,卡车,无特殊需求,应急车辆
564,晴天,白天,干燥,无车辆,儿童,车道右侧,100米,50km/h,应急车辆,紧急（去医院）,应急车辆
607,晴天,白天,干燥,无车辆,儿童,车道中间,100米,50km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
656,晴天,白天,干燥,100米,儿童,车道右侧,10米,25km/h,普通车辆,紧急（去医院）,普通车辆
689,晴天,白天,干燥,100米,成年人,车道中间,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,普通车辆
696,晴天,白天,干燥,100米,儿童,车道右侧,10米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
697,晴天,白天,干燥,100米,成年人,车道中间,10米,25km/h,应急车辆,赶时间（通勤或赶飞机）,无
719,晴天,白天,干燥,100米,儿童,车道中间,10米,25km/h,卡车,赶时间（通勤或赶飞机）,应急车辆
721,晴天,白天,干燥,100米,成年人,车道中间,10米,25km/h,普通车辆,无特殊需求,无
739,晴天,白天,干燥,100米,儿童,车道中间,10米,25km/h,应急车辆,无特殊需求,普通车辆
745,晴天,白天,干燥,100米,成年人,车道中间,10米,25km/h,卡车,无特殊需求,无
777,晴天,白天,干燥,100米,成年人,车道中间,50米,25km/h,应急车辆,紧急（去医院）,应急车辆
804,晴天,白天,干燥,100米,儿童,车道右侧,50米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
813,晴天,白天,干燥,100米,成年人,车道中间,50米,25km/h,应急车辆,赶时间（通勤或赶飞机）,应急车辆
829,晴天,白天,干燥,100米,成年人,车道中间,50米,25km/h,普通车辆,无特殊需求,无
844,晴天,白天,干燥,100米,儿童,车道右侧,50米,25km/h,应急车辆,无特殊需求,无
857,晴天,白天,干燥,100米,成年人,车道中间,50米,25km/h,卡车,无特殊需求,普通车辆
867,晴天,白天,干燥,100米,儿童,车道中间,100米,25km/h,普通车辆,紧急（去医院）,无
912,晴天,白天,干燥,100米,儿童,车道右侧,100米,25km/h,普通车辆,赶时间（通勤或赶飞机）,应急车辆
929,晴天,白天,干燥,100米,成年人,车道中间,100米,25km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
937,晴天,白天,干燥,100米,成年人,车道中间,100米,25km/h,普通车辆,无特殊需求,无
961,晴天,白天,干燥,100米,成年人,车道中间,100米,25km/h,卡车,无特殊需求,无
972,晴天,白天,干燥,100米,儿童,车道右侧,100米,25km/h,卡车,无特殊需求,应急车辆
981,晴天,白天,干燥,100米,成年人,车道中间,10米,50km/h,普通车辆,紧急（去医院）,应急车辆
994,晴天,白天,干燥,100米,成年人,车道右侧,10米,50km/h,应急车辆,紧急（去医院）,应急车辆
1007,晴天,白天,干燥,100米,儿童,车道中间,10米,50km/h,卡车,紧急（去医院）,应急车辆
1028,晴天,白天,干燥,100米,儿童,车道右侧,10米,50km/h,应急车辆,赶时间（通勤或赶飞机）,普通车辆
1035,晴天,白天,干燥,100米,儿童,车道中间,10米,50km/h,卡车,赶时间（通勤或赶飞机）,无
1053,晴天,白天,干燥,100米,成年人,车道中间,10米,50km/h,普通车辆,无特殊需求,应急车辆
1078,晴天,白天,干燥,100米,成年人,车道右侧,10米,50km/h,卡车,无特殊需求,应急车辆
1088,晴天,白天,干燥,100米,儿童,车道右侧,50米,50km/h,普通车辆,紧急（去医院）,普通车辆
1098,晴天,白天,干燥,100米,成年人,车道右侧,50米,50km/h,应急车辆,紧急（去医院）,普通车辆
1148,晴天,白天,干燥,100米,儿童,车道右侧,50米,50km/h,卡车,赶时间（通勤或赶飞机）,普通车辆
1164,晴天,白天,干燥,100米,儿童,车道右侧,50米,50km/h,普通车辆,无特殊需求,应急车辆
1167,晴天,白天,干燥,100米,儿童,车道中间,50米,50km/h,应急车辆,无特殊需求,无
1183,晴天,白天,干燥,100米,儿童,车道中间,50米,50km/h,卡车,无特殊需求,普通车辆
1202,晴天,白天,干燥,100米,成年人,车道右侧,100米,50km/h,应急车辆,紧急（去医院）,无
1228,晴天,白天,干燥,100米,儿童,车道右侧,100米,50km/h,普通车辆,赶时间（通勤或赶飞机）,无
1262,晴天,白天,干燥,100米,成年人,车道右侧,100米,50km/h,普通车辆,无特殊需求,无
1273,晴天,白天,干燥,100米,成年人,车道中间,100米,50km/h,应急车辆,无特殊需求,无
