id,weather,time,road_condition,bicycle_front_space,bicycle_rider,bicycle_position,dist_bicycle,ego_vehicle_speed,ego_role,occupant_requirement,following_vehicle
32,sunny,day,dry,free,children,right of the lane,10m,25km/h,truck,urgent (to hospital),normal car
35,sunny,day,dry,free,children,middle of the lane,10m,25km/h,truck,urgent (to hospital),emergency vehicle
116,sunny,day,dry,free,children,right of the lane,50m,25km/h,normal car,urgent (to hospital),normal car
120,sunny,day,dry,free,children,right of the lane,50m,25km/h,normal car,urgent (to hospital),emergency vehicle
128,sunny,day,dry,free,children,right of the lane,50m,25km/h,emergency vehicle,urgent (to hospital),normal car
134,sunny,day,dry,free,adult,right of the lane,50m,25km/h,truck,urgent (to hospital),none
140,sunny,day,dry,free,children,right of the lane,50m,25km/h,truck,urgent (to hospital),normal car
181,sunny,day,dry,free,adult,middle of the lane,50m,25km/h,normal car,none,none
209,sunny,day,dry,free,adult,middle of the lane,50m,25km/h,truck,none,normal car
219,sunny,day,dry,free,children,middle of the lane,100m,25km/h,normal car,urgent (to hospital),none
248,sunny,day,dry,free,children,right of the lane,100m,25km/h,truck,urgent (to hospital),normal car
252,sunny,day,dry,free,children,right of the lane,100m,25km/h,truck,urgent (to hospital),emergency vehicle
266,sunny,day,dry,free,adult,right of the lane,100m,25km/h,emergency vehicle,hurry (commute or flight),none
291,sunny,day,dry,free,children,middle of the lane,100m,25km/h,normal car,none,none
314,sunny,day,dry,free,adult,right of the lane,100m,25km/h,truck,none,none
323,sunny,day,dry,free,children,middle of the lane,100m,25km/h,truck,none,emergency vehicle
324,sunny,day,dry,free,children,right of the lane,100m,25km/h,truck,none,emergency vehicle
327,sunny,day,dry,free,children,middle of the lane,10m,50km/h,normal car,urgent (to hospital),none
342,sunny,day,dry,free,adult,right of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),normal car
352,sunny,day,dry,free,children,right of the lane,10m,50km/h,truck,urgent (to hospital),none
384,sunny,day,dry,free,children,right of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
386,sunny,day,dry,free,adult,right of the lane,10m,50km/h,truck,hurry (commute or flight),none
409,sunny,day,dry,free,adult,middle of the lane,10m,50km/h,emergency vehicle,none,none
410,sunny,day,dry,free,adult,right of the lane,10m,50km/h,emergency vehicle,none,none
439,sunny,day,dry,free,children,middle of the lane,50m,50km/h,normal car,urgent (to hospital),normal car
448,sunny,day,dry,free,children,right of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),none
452,sunny,day,dry,free,children,right of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),normal car
475,sunny,day,dry,free,children,middle of the lane,50m,50km/h,normal car,hurry (commute or flight),normal car
483,sunny,day,dry,free,children,middle of the lane,50m,50km/h,emergency vehicle,hurry (commute or flight),none
485,sunny,day,dry,free,adult,middle of the lane,50m,50km/h,emergency vehicle,hurry (commute or flight),normal car
504,sunny,day,dry,free,children,right of the lane,50m,50km/h,truck,hurry (commute or flight),emergency vehicle
521,sunny,day,dry,free,adult,middle of the lane,50m,50km/h,emergency vehicle,none,normal car
539,sunny,day,dry,free,children,middle of the lane,50m,50km/h,truck,none,emergency vehicle
564,sunny,day,dry,free,children,right of the lane,100m,50km/h,emergency vehicle,urgent (to hospital),emergency vehicle
607,sunny,day,dry,free,children,middle of the lane,100m,50km/h,truck,hurry (commute or flight),normal car
656,sunny,day,dry,100m,children,right of the lane,10m,25km/h,normal car,urgent (to hospital),normal car
689,sunny,day,dry,100m,adult,middle of the lane,10m,25km/h,normal car,hurry (commute or flight),normal car
696,sunny,day,dry,100m,children,right of the lane,10m,25km/h,normal car,hurry (commute or flight),emergency vehicle
697,sunny,day,dry,100m,adult,middle of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),none
719,sunny,day,dry,100m,children,middle of the lane,10m,25km/h,truck,hurry (commute or flight),emergency vehicle
721,sunny,day,dry,100m,adult,middle of the lane,10m,25km/h,normal car,none,none
739,sunny,day,dry,100m,children,middle of the lane,10m,25km/h,emergency vehicle,none,normal car
745,sunny,day,dry,100m,adult,middle of the lane,10m,25km/h,truck,none,none
777,sunny,day,dry,100m,adult,middle of the lane,50m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
804,sunny,day,dry,100m,children,right of the lane,50m,25km/h,normal car,hurry (commute or flight),emergency vehicle
813,sunny,day,dry,100m,adult,middle of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
829,sunny,day,dry,100m,adult,middle of the lane,50m,25km/h,normal car,none,none
844,sunny,day,dry,100m,children,right of the lane,50m,25km/h,emergency vehicle,none,none
857,sunny,day,dry,100m,adult,middle of the lane,50m,25km/h,truck,none,normal car
867,sunny,day,dry,100m,children,middle of the lane,100m,25km/h,normal car,urgent (to hospital),none
912,sunny,day,dry,100m,children,right of the lane,100m,25km/h,normal car,hurry (commute or flight),emergency vehicle
929,sunny,day,dry,100m,adult,middle of the lane,100m,25km/h,truck,hurry (commute or flight),normal car
937,sunny,day,dry,100m,adult,middle of the lane,100m,25km/h,normal car,none,none
961,sunny,day,dry,100m,adult,middle of the lane,100m,25km/h,truck,none,none
972,sunny,day,dry,100m,children,right of the lane,100m,25km/h,truck,none,emergency vehicle
981,sunny,day,dry,100m,adult,middle of the lane,10m,50km/h,normal car,urgent (to hospital),emergency vehicle
994,sunny,day,dry,100m,adult,right of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),emergency vehicle
1007,sunny,day,dry,100m,children,middle of the lane,10m,50km/h,truck,urgent (to hospital),emergency vehicle
1028,sunny,day,dry,100m,children,right of the lane,10m,50km/h,emergency vehicle,hurry (commute or flight),normal car
1035,sunny,day,dry,100m,children,middle of the lane,10m,50km/h,truck,hurry (commute or flight),none
1053,sunny,day,dry,100m,adult,middle of the lane,10m,50km/h,normal car,none,emergency vehicle
1078,sunny,day,dry,100m,adult,right of the lane,10m,50km/h,truck,none,emergency vehicle
1088,sunny,day,dry,100m,children,right of the lane,50m,50km/h,normal car,urgent (to hospital),normal car
1098,sunny,day,dry,100m,adult,right of the lane,50m,50km/h,emergency vehicle,urgent (to hospital),normal car
1148,sunny,day,dry,100m,children,right of the lane,50m,50km/h,truck,hurry (commute or flight),normal car
1164,sunny,day,dry,100m,children,right of the lane,50m,50km/h,normal car,none,emergency vehicle
1167,sunny,day,dry,100m,children,middle of the lane,50m,50km/h,emergency vehicle,none,none
1183,sunny,day,dry,100m,children,middle of the lane,50m,50km/h,truck,none,normal car
1202,sunny,day,dry,100m,adult,right of the lane,100m,50km/h,emergency vehicle,urgent (to hospital),none
1228,sunny,day,dry,100m,children,right of the lane,100m,50km/h,normal car,hurry (commute or flight),none
1262,sunny,day,dry,100m,adult,right of the lane,100m,50km/h,normal car,none,none
1273,sunny,day,dry,100m,adult,middle of the lane,100m,50km/h,emergency vehicle,none,none
1289,sunny,day,dry,100m,adult,middle of the lane,100m,50km/h,truck,none,normal car
1291,sunny,day,dry,100m,children,middle of the lane,100m,50km/h,truck,none,normal car
1298,sunny,day,dry,50m,adult,right of the lane,10m,25km/h,normal car,urgent (to hospital),none
1329,sunny,day,dry,50m,adult,middle of the lane,10m,25km/h,truck,urgent (to hospital),emergency vehicle
1338,sunny,day,dry,50m,adult,right of the lane,10m,25km/h,normal car,hurry (commute or flight),normal car
1347,sunny,day,dry,50m,children,middle of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),none
1351,sunny,day,dry,50m,children,middle of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),normal car
1356,sunny,day,dry,50m,children,right of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
1394,sunny,day,dry,50m,adult,right of the lane,10m,25km/h,truck,none,none
1399,sunny,day,dry,50m,children,middle of the lane,10m,25km/h,truck,none,normal car
1428,sunny,day,dry,50m,children,right of the lane,50m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
1434,sunny,day,dry,50m,adult,right of the lane,50m,25km/h,truck,urgent (to hospital),normal car
1457,sunny,day,dry,50m,adult,middle of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),normal car
1458,sunny,day,dry,50m,adult,right of the lane,50m,25km/h,emergency vehicle,hurry (commute or flight),normal car
1476,sunny,day,dry,50m,children,right of the lane,50m,25km/h,truck,hurry (commute or flight),emergency vehicle
1494,sunny,day,dry,50m,adult,right of the lane,50m,25km/h,emergency vehicle,none,normal car
1504,sunny,day,dry,50m,children,right of the lane,50m,25km/h,truck,none,none
1505,sunny,day,dry,50m,adult,middle of the lane,50m,25km/h,truck,none,normal car
1511,sunny,day,dry,50m,children,middle of the lane,50m,25km/h,truck,none,emergency vehicle
1513,sunny,day,dry,50m,adult,middle of the lane,100m,25km/h,normal car,urgent (to hospital),none
1523,sunny,day,dry,50m,children,middle of the lane,100m,25km/h,normal car,urgent (to hospital),emergency vehicle
1528,sunny,day,dry,50m,children,right of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),none
1531,sunny,day,dry,50m,children,middle of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),normal car
1536,sunny,day,dry,50m,children,right of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),emergency vehicle
1555,sunny,day,dry,50m,children,middle of the lane,100m,25km/h,normal car,hurry (commute or flight),normal car
1573,sunny,day,dry,50m,adult,middle of the lane,100m,25km/h,truck,hurry (commute or flight),none
1581,sunny,day,dry,50m,adult,middle of the lane,100m,25km/h,truck,hurry (commute or flight),emergency vehicle
1600,sunny,day,dry,50m,children,right of the lane,100m,25km/h,emergency vehicle,none,none
1607,sunny,day,dry,50m,children,middle of the lane,100m,25km/h,emergency vehicle,none,emergency vehicle
1612,sunny,day,dry,50m,children,right of the lane,100m,25km/h,truck,none,none
1636,sunny,day,dry,50m,children,right of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),none
1643,sunny,day,dry,50m,children,middle of the lane,10m,50km/h,emergency vehicle,urgent (to hospital),emergency vehicle
1693,sunny,day,dry,50m,adult,middle of the lane,10m,50km/h,normal car,none,none
1713,sunny,day,dry,50m,adult,middle of the lane,10m,50km/h,emergency vehicle,none,emergency vehicle
1714,sunny,day,dry,50m,adult,right of the lane,10m,50km/h,emergency vehicle,none,emergency vehicle
1720,sunny,day,dry,50m,children,right of the lane,10m,50km/h,truck,none,none
1730,sunny,day,dry,50m,adult,right of the lane,50m,50km/h,normal car,urgent (to hospital),none
1731,sunny,day,dry,50m,children,middle of the lane,50m,50km/h,normal car,urgent (to hospital),none
1769,sunny,day,dry,50m,adult,middle of the lane,50m,50km/h,normal car,hurry (commute or flight),normal car
1789,sunny,day,dry,50m,adult,middle of the lane,50m,50km/h,truck,hurry (commute or flight),none
1806,sunny,day,dry,50m,adult,right of the lane,50m,50km/h,normal car,none,normal car
1808,sunny,day,dry,50m,children,right of the lane,50m,50km/h,normal car,none,normal car
1816,sunny,day,dry,50m,children,right of the lane,50m,50km/h,emergency vehicle,none,none
1863,sunny,day,dry,50m,children,middle of the lane,100m,50km/h,truck,urgent (to hospital),none
1902,sunny,day,dry,50m,adult,right of the lane,100m,50km/h,truck,hurry (commute or flight),normal car
1912,sunny,day,dry,50m,children,right of the lane,100m,50km/h,normal car,none,none
1969,sunny,day,dry,20m,adult,middle of the lane,10m,25km/h,truck,urgent (to hospital),none
1979,sunny,day,dry,20m,children,middle of the lane,10m,25km/h,truck,urgent (to hospital),emergency vehicle
1982,sunny,day,dry,20m,adult,right of the lane,10m,25km/h,normal car,hurry (commute or flight),none
2004,sunny,day,dry,20m,children,right of the lane,10m,25km/h,emergency vehicle,hurry (commute or flight),emergency vehicle
2009,sunny,day,dry,20m,adult,middle of the lane,10m,25km/h,truck,hurry (commute or flight),normal car
2021,sunny,day,dry,20m,adult,middle of the lane,10m,25km/h,normal car,none,normal car
2042,sunny,day,dry,20m,adult,right of the lane,10m,25km/h,truck,none,none
2054,sunny,day,dry,20m,adult,right of the lane,50m,25km/h,normal car,urgent (to hospital),none
2085,sunny,day,dry,20m,adult,middle of the lane,50m,25km/h,truck,urgent (to hospital),emergency vehicle
2120,sunny,day,dry,20m,children,right of the lane,50m,25km/h,truck,hurry (commute or flight),normal car
2128,sunny,day,dry,20m,children,right of the lane,50m,25km/h,normal car,none,none
2141,sunny,day,dry,20m,adult,middle of the lane,50m,25km/h,emergency vehicle,none,normal car
2142,sunny,day,dry,20m,adult,right of the lane,50m,25km/h,emergency vehicle,none,normal car
2146,sunny,day,dry,20m,adult,right of the lane,50m,25km/h,emergency vehicle,none,emergency vehicle
2151,sunny,day,dry,20m,children,middle of the lane,50m,25km/h,truck,none,none
2169,sunny,day,dry,20m,adult,middle of the lane,100m,25km/h,normal car,urgent (to hospital),emergency vehicle
2172,sunny,day,dry,20m,children,right of the lane,100m,25km/h,normal car,urgent (to hospital),emergency vehicle
2175,sunny,day,dry,20m,children,middle of the lane,100m,25km/h,emergency vehicle,urgent (to hospital),none
2196,sunny,day,dry,20m,children,right of the lane,100m,25km/h,truck,urgent (to hospital),emergency vehicle
2200,sunny,day,dry,20m,children,right of the lane,100m,25km/h,normal car,hurry (commute or flight),none
