id,Météo,Moment de la journée,État de la route,Espace devant le cycliste,Type de cycliste,Position du cycliste,Distance au cycliste,Vitesse du véhicule ego,Rôle du véhicule ego,Besoin du passager,Véhicule suiveur
32,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,25km/h,camion,urgence (vers l'hôpital),voiture normale
35,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
116,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
120,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
128,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
134,ensoleillé,jour,sec,libre,adulte,droite de la voie,50m,25km/h,camion,urgence (vers l'hôpital),aucun
140,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,25km/h,camion,urgence (vers l'hôpital),voiture normale
181,ensoleillé,jour,sec,libre,adulte,milieu de la voie,50m,25km/h,voiture normale,aucune,aucun
209,ensoleillé,jour,sec,libre,adulte,milieu de la voie,50m,25km/h,camion,aucune,voiture normale
219,ensoleillé,jour,sec,libre,enfant,milieu de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
248,ensoleillé,jour,sec,libre,enfant,droite de la voie,100m,25km/h,camion,urgence (vers l'hôpital),voiture normale
252,ensoleillé,jour,sec,libre,enfant,droite de la voie,100m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
266,ensoleillé,jour,sec,libre,adulte,droite de la voie,100m,25km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
291,ensoleillé,jour,sec,libre,enfant,milieu de la voie,100m,25km/h,voiture normale,aucune,aucun
314,ensoleillé,jour,sec,libre,adulte,droite de la voie,100m,25km/h,camion,aucune,aucun
323,ensoleillé,jour,sec,libre,enfant,milieu de la voie,100m,25km/h,camion,aucune,véhicule d'urgence
324,ensoleillé,jour,sec,libre,enfant,droite de la voie,100m,25km/h,camion,aucune,véhicule d'urgence
327,ensoleillé,jour,sec,libre,enfant,milieu de la voie,10m,50km/h,voiture normale,urgence (vers l'hôpital),aucun
342,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
352,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,50km/h,camion,urgence (vers l'hôpital),aucun
384,ensoleillé,jour,sec,libre,enfant,droite de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
386,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,50km/h,camion,pressé (trajet ou vol),aucun
409,ensoleillé,jour,sec,libre,adulte,milieu de la voie,10m,50km/h,véhicule d'urgence,aucune,aucun
410,ensoleillé,jour,sec,libre,adulte,droite de la voie,10m,50km/h,véhicule d'urgence,aucune,aucun
439,ensoleillé,jour,sec,libre,enfant,milieu de la voie,50m,50km/h,voiture normale,urgence (vers l'hôpital),voiture normale
448,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
452,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
475,ensoleillé,jour,sec,libre,enfant,milieu de la voie,50m,50km/h,voiture normale,pressé (trajet ou vol),voiture normale
483,ensoleillé,jour,sec,libre,enfant,milieu de la voie,50m,50km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
485,ensoleillé,jour,sec,libre,adulte,milieu de la voie,50m,50km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
504,ensoleillé,jour,sec,libre,enfant,droite de la voie,50m,50km/h,camion,pressé (trajet ou vol),véhicule d'urgence
521,ensoleillé,jour,sec,libre,adulte,milieu de la voie,50m,50km/h,véhicule d'urgence,aucune,voiture normale
539,ensoleillé,jour,sec,libre,enfant,milieu de la voie,50m,50km/h,camion,aucune,véhicule d'urgence
564,ensoleillé,jour,sec,libre,enfant,droite de la voie,100m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
607,ensoleillé,jour,sec,libre,enfant,milieu de la voie,100m,50km/h,camion,pressé (trajet ou vol),voiture normale
656,ensoleillé,jour,sec,100m,enfant,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),voiture normale
689,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,25km/h,voiture normale,pressé (trajet ou vol),voiture normale
696,ensoleillé,jour,sec,100m,enfant,droite de la voie,10m,25km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
697,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,25km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
719,ensoleillé,jour,sec,100m,enfant,milieu de la voie,10m,25km/h,camion,pressé (trajet ou vol),véhicule d'urgence
721,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,25km/h,voiture normale,aucune,aucun
739,ensoleillé,jour,sec,100m,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,aucune,voiture normale
745,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,25km/h,camion,aucune,aucun
777,ensoleillé,jour,sec,100m,adulte,milieu de la voie,50m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
804,ensoleillé,jour,sec,100m,enfant,droite de la voie,50m,25km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
813,ensoleillé,jour,sec,100m,adulte,milieu de la voie,50m,25km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
829,ensoleillé,jour,sec,100m,adulte,milieu de la voie,50m,25km/h,voiture normale,aucune,aucun
844,ensoleillé,jour,sec,100m,enfant,droite de la voie,50m,25km/h,véhicule d'urgence,aucune,aucun
857,ensoleillé,jour,sec,100m,adulte,milieu de la voie,50m,25km/h,camion,aucune,voiture normale
867,ensoleillé,jour,sec,100m,enfant,milieu de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
912,ensoleillé,jour,sec,100m,enfant,droite de la voie,100m,25km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
929,ensoleillé,jour,sec,100m,adulte,milieu de la voie,100m,25km/h,camion,pressé (trajet ou vol),voiture normale
937,ensoleillé,jour,sec,100m,adulte,milieu de la voie,100m,25km/h,voiture normale,aucune,aucun
961,ensoleillé,jour,sec,100m,adulte,milieu de la voie,100m,25km/h,camion,aucune,aucun
972,ensoleillé,jour,sec,100m,enfant,droite de la voie,100m,25km/h,camion,aucune,véhicule d'urgence
981,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,50km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
994,ensoleillé,jour,sec,100m,adulte,droite de la voie,10m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
1007,ensoleillé,jour,sec,100m,enfant,milieu de la voie,10m,50km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
1028,ensoleillé,jour,sec,100m,enfant,droite de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
1035,ensoleillé,jour,sec,100m,enfant,milieu de la voie,10m,50km/h,camion,pressé (trajet ou vol),aucun
1053,ensoleillé,jour,sec,100m,adulte,milieu de la voie,10m,50km/h,voiture normale,aucune,véhicule d'urgence
1078,ensoleillé,jour,sec,100m,adulte,droite de la voie,10m,50km/h,camion,aucune,véhicule d'urgence
1088,ensoleillé,jour,sec,100m,enfant,droite de la voie,50m,50km/h,voiture normale,urgence (vers l'hôpital),voiture normale
1098,ensoleillé,jour,sec,100m,adulte,droite de la voie,50m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
1148,ensoleillé,jour,sec,100m,enfant,droite de la voie,50m,50km/h,camion,pressé (trajet ou vol),voiture normale
1164,ensoleillé,jour,sec,100m,enfant,droite de la voie,50m,50km/h,voiture normale,aucune,véhicule d'urgence
1167,ensoleillé,jour,sec,100m,enfant,milieu de la voie,50m,50km/h,véhicule d'urgence,aucune,aucun
1183,ensoleillé,jour,sec,100m,enfant,milieu de la voie,50m,50km/h,camion,aucune,voiture normale
1202,ensoleillé,jour,sec,100m,adulte,droite de la voie,100m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
1228,ensoleillé,jour,sec,100m,enfant,droite de la voie,100m,50km/h,voiture normale,pressé (trajet ou vol),aucun
1262,ensoleillé,jour,sec,100m,adulte,droite de la voie,100m,50km/h,voiture normale,aucune,aucun
1273,ensoleillé,jour,sec,100m,adulte,milieu de la voie,100m,50km/h,véhicule d'urgence,aucune,aucun
1289,ensoleillé,jour,sec,100m,adulte,milieu de la voie,100m,50km/h,camion,aucune,voiture normale
1291,ensoleillé,jour,sec,100m,enfant,milieu de la voie,100m,50km/h,camion,aucune,voiture normale
1298,ensoleillé,jour,sec,50m,adulte,droite de la voie,10m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
1329,ensoleillé,jour,sec,50m,adulte,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
1338,ensoleillé,jour,sec,50m,adulte,droite de la voie,10m,25km/h,voiture normale,pressé (trajet ou vol),voiture normale
1347,ensoleillé,jour,sec,50m,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
1351,ensoleillé,jour,sec,50m,enfant,milieu de la voie,10m,25km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
1356,ensoleillé,jour,sec,50m,enfant,droite de la voie,10m,25km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
1394,ensoleillé,jour,sec,50m,adulte,droite de la voie,10m,25km/h,camion,aucune,aucun
1399,ensoleillé,jour,sec,50m,enfant,milieu de la voie,10m,25km/h,camion,aucune,voiture normale
1428,ensoleillé,jour,sec,50m,enfant,droite de la voie,50m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
1434,ensoleillé,jour,sec,50m,adulte,droite de la voie,50m,25km/h,camion,urgence (vers l'hôpital),voiture normale
1457,ensoleillé,jour,sec,50m,adulte,milieu de la voie,50m,25km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
1458,ensoleillé,jour,sec,50m,adulte,droite de la voie,50m,25km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
1476,ensoleillé,jour,sec,50m,enfant,droite de la voie,50m,25km/h,camion,pressé (trajet ou vol),véhicule d'urgence
1494,ensoleillé,jour,sec,50m,adulte,droite de la voie,50m,25km/h,véhicule d'urgence,aucune,voiture normale
1504,ensoleillé,jour,sec,50m,enfant,droite de la voie,50m,25km/h,camion,aucune,aucun
1505,ensoleillé,jour,sec,50m,adulte,milieu de la voie,50m,25km/h,camion,aucune,voiture normale
1511,ensoleillé,jour,sec,50m,enfant,milieu de la voie,50m,25km/h,camion,aucune,véhicule d'urgence
1513,ensoleillé,jour,sec,50m,adulte,milieu de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
1523,ensoleillé,jour,sec,50m,enfant,milieu de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
1528,ensoleillé,jour,sec,50m,enfant,droite de la voie,100m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
1531,ensoleillé,jour,sec,50m,enfant,milieu de la voie,100m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
1536,ensoleillé,jour,sec,50m,enfant,droite de la voie,100m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
1555,ensoleillé,jour,sec,50m,enfant,milieu de la voie,100m,25km/h,voiture normale,pressé (trajet ou vol),voiture normale
1573,ensoleillé,jour,sec,50m,adulte,milieu de la voie,100m,25km/h,camion,pressé (trajet ou vol),aucun
1581,ensoleillé,jour,sec,50m,adulte,milieu de la voie,100m,25km/h,camion,pressé (trajet ou vol),véhicule d'urgence
1600,ensoleillé,jour,sec,50m,enfant,droite de la voie,100m,25km/h,véhicule d'urgence,aucune,aucun
1607,ensoleillé,jour,sec,50m,enfant,milieu de la voie,100m,25km/h,véhicule d'urgence,aucune,véhicule d'urgence
1612,ensoleillé,jour,sec,50m,enfant,droite de la voie,100m,25km/h,camion,aucune,aucun
1636,ensoleillé,jour,sec,50m,enfant,droite de la voie,10m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
1643,ensoleillé,jour,sec,50m,enfant,milieu de la voie,10m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
1693,ensoleillé,jour,sec,50m,adulte,milieu de la voie,10m,50km/h,voiture normale,aucune,aucun
1713,ensoleillé,jour,sec,50m,adulte,milieu de la voie,10m,50km/h,véhicule d'urgence,aucune,véhicule d'urgence
1714,ensoleillé,jour,sec,50m,adulte,droite de la voie,10m,50km/h,véhicule d'urgence,aucune,véhicule d'urgence
1720,ensoleillé,jour,sec,50m,enfant,droite de la voie,10m,50km/h,camion,aucune,aucun
1730,ensoleillé,jour,sec,50m,adulte,droite de la voie,50m,50km/h,voiture normale,urgence (vers l'hôpital),aucun
1731,ensoleillé,jour,sec,50m,enfant,milieu de la voie,50m,50km/h,voiture normale,urgence (vers l'hôpital),aucun
1769,ensoleillé,jour,sec,50m,adulte,milieu de la voie,50m,50km/h,voiture normale,pressé (trajet ou vol),voiture normale
1789,ensoleillé,jour,sec,50m,adulte,milieu de la voie,50m,50km/h,camion,pressé (trajet ou vol),aucun
1806,ensoleillé,jour,sec,50m,adulte,droite de la voie,50m,50km/h,voiture normale,aucune,voiture normale
1808,ensoleillé,jour,sec,50m,enfant,droite de la voie,50m,50km/h,voiture normale,aucune,voiture normale
1816,ensoleillé,jour,sec,50m,enfant,droite de la voie,50m,50km/h,véhicule d'urgence,aucune,aucun
1863,ensoleillé,jour,sec,50m,enfant,milieu de la voie,100m,50km/h,camion,urgence (vers l'hôpital),aucun
1902,ensoleillé,jour,sec,50m,adulte,droite de la voie,100m,50km/h,camion,pressé (trajet ou vol),voiture normale
1912,ensoleillé,jour,sec,50m,enfant,droite de la voie,100m,50km/h,voiture normale,aucune,aucun
1969,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),aucun
1979,ensoleillé,jour,sec,20m,enfant,milieu de la voie,10m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
1982,ensoleillé,jour,sec,20m,adulte,droite de la voie,10m,25km/h,voiture normale,pressé (trajet ou vol),aucun
2004,ensoleillé,jour,sec,20m,enfant,droite de la voie,10m,25km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
2009,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,25km/h,camion,pressé (trajet ou vol),voiture normale
2021,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,25km/h,voiture normale,aucune,voiture normale
2042,ensoleillé,jour,sec,20m,adulte,droite de la voie,10m,25km/h,camion,aucune,aucun
2054,ensoleillé,jour,sec,20m,adulte,droite de la voie,50m,25km/h,voiture normale,urgence (vers l'hôpital),aucun
2085,ensoleillé,jour,sec,20m,adulte,milieu de la voie,50m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
2120,ensoleillé,jour,sec,20m,enfant,droite de la voie,50m,25km/h,camion,pressé (trajet ou vol),voiture normale
2128,ensoleillé,jour,sec,20m,enfant,droite de la voie,50m,25km/h,voiture normale,aucune,aucun
2141,ensoleillé,jour,sec,20m,adulte,milieu de la voie,50m,25km/h,véhicule d'urgence,aucune,voiture normale
2142,ensoleillé,jour,sec,20m,adulte,droite de la voie,50m,25km/h,véhicule d'urgence,aucune,voiture normale
2146,ensoleillé,jour,sec,20m,adulte,droite de la voie,50m,25km/h,véhicule d'urgence,aucune,véhicule d'urgence
2151,ensoleillé,jour,sec,20m,enfant,milieu de la voie,50m,25km/h,camion,aucune,aucun
2169,ensoleillé,jour,sec,20m,adulte,milieu de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
2172,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,25km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
2175,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,25km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
2196,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,25km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
2200,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,25km/h,voiture normale,pressé (trajet ou vol),aucun
2203,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,25km/h,voiture normale,pressé (trajet ou vol),voiture normale
2215,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,25km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
2248,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,25km/h,véhicule d'urgence,aucune,aucun
2251,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,25km/h,véhicule d'urgence,aucune,voiture normale
2268,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,25km/h,camion,aucune,véhicule d'urgence
2278,ensoleillé,jour,sec,20m,adulte,droite de la voie,10m,50km/h,voiture normale,urgence (vers l'hôpital),véhicule d'urgence
2301,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,50km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
2306,ensoleillé,jour,sec,20m,adulte,droite de la voie,10m,50km/h,voiture normale,pressé (trajet ou vol),aucun
2309,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,50km/h,voiture normale,pressé (trajet ou vol),voiture normale
2313,ensoleillé,jour,sec,20m,adulte,milieu de la voie,10m,50km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
2316,ensoleillé,jour,sec,20m,enfant,droite de la voie,10m,50km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
2320,ensoleillé,jour,sec,20m,enfant,droite de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
2324,ensoleillé,jour,sec,20m,enfant,droite de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),voiture normale
2326,ensoleillé,jour,sec,20m,adulte,droite de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
2327,ensoleillé,jour,sec,20m,enfant,milieu de la voie,10m,50km/h,véhicule d'urgence,pressé (trajet ou vol),véhicule d'urgence
2335,ensoleillé,jour,sec,20m,enfant,milieu de la voie,10m,50km/h,camion,pressé (trajet ou vol),voiture normale
2352,ensoleillé,jour,sec,20m,enfant,droite de la voie,10m,50km/h,voiture normale,aucune,véhicule d'urgence
2389,ensoleillé,jour,sec,20m,adulte,milieu de la voie,50m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),aucun
2394,ensoleillé,jour,sec,20m,adulte,droite de la voie,50m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
2421,ensoleillé,jour,sec,20m,adulte,milieu de la voie,50m,50km/h,voiture normale,pressé (trajet ou vol),véhicule d'urgence
2451,ensoleillé,jour,sec,20m,enfant,milieu de la voie,50m,50km/h,voiture normale,aucune,aucun
2468,ensoleillé,jour,sec,20m,enfant,droite de la voie,50m,50km/h,véhicule d'urgence,aucune,voiture normale
2484,ensoleillé,jour,sec,20m,enfant,droite de la voie,50m,50km/h,camion,aucune,véhicule d'urgence
2504,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),voiture normale
2506,ensoleillé,jour,sec,20m,adulte,droite de la voie,100m,50km/h,véhicule d'urgence,urgence (vers l'hôpital),véhicule d'urgence
2519,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,50km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
2520,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,camion,urgence (vers l'hôpital),véhicule d'urgence
2534,ensoleillé,jour,sec,20m,adulte,droite de la voie,100m,50km/h,véhicule d'urgence,pressé (trajet ou vol),aucun
2547,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,50km/h,camion,pressé (trajet ou vol),aucun
2555,ensoleillé,jour,sec,20m,enfant,milieu de la voie,100m,50km/h,camion,pressé (trajet ou vol),véhicule d'urgence
2560,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,voiture normale,aucune,aucun
2572,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,véhicule d'urgence,aucune,aucun
2580,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,véhicule d'urgence,aucune,véhicule d'urgence
2584,ensoleillé,jour,sec,20m,enfant,droite de la voie,100m,50km/h,camion,aucune,aucun
