id,天气,时间,路况,行人类型,行人行为,行人动作,本车角色,乘客需求,与行人距离,本车速度
1,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,10米,25km/h
2,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,50米,25km/h
3,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,100米,25km/h
4,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,10米,50km/h
5,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,50米,50km/h
6,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,100米,50km/h
7,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,10米,25km/h
8,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,50米,25km/h
9,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,100米,25km/h
10,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,10米,50km/h
11,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,50米,50km/h
12,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,100米,50km/h
13,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,10米,25km/h
14,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,50米,25km/h
15,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,100米,25km/h
16,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,10米,50km/h
17,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,50米,50km/h
18,晴天,白天,干燥,儿童,看手机,停留,卡车,紧急（去医院）,100米,50km/h
19,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
20,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
21,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
22,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,10米,50km/h
23,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
24,晴天,白天,干燥,儿童,看手机,停留,普通汽车,赶时间（通勤或赶飞机）,100米,50km/h
25,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,10米,25km/h
26,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,50米,25km/h
27,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,100米,25km/h
28,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
29,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
30,晴天,白天,干燥,儿童,看手机,停留,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
31,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,10米,25km/h
32,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,50米,25km/h
33,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,100米,25km/h
34,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,10米,50km/h
35,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,50米,50km/h
36,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,100米,50km/h
37,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,10米,25km/h
38,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,50米,25km/h
39,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,100米,25km/h
40,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,10米,50km/h
41,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,50米,50km/h
42,晴天,白天,干燥,儿童,看手机,停留,普通汽车,无特别需求,100米,50km/h
43,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,10米,25km/h
44,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,50米,25km/h
45,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,100米,25km/h
46,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,10米,50km/h
47,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,50米,50km/h
48,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,100米,50km/h
49,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,10米,25km/h
50,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,50米,25km/h
51,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,100米,25km/h
52,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,10米,50km/h
53,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,50米,50km/h
54,晴天,白天,干燥,儿童,看手机,停留,卡车,无特别需求,100米,50km/h
55,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,10米,25km/h
56,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,50米,25km/h
57,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,100米,25km/h
58,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,10米,50km/h
59,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,50米,50km/h
60,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,100米,50km/h
61,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,10米,25km/h
62,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,50米,25km/h
63,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,100米,25km/h
64,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,10米,50km/h
65,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,50米,50km/h
66,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,紧急（去医院）,100米,50km/h
67,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,10米,25km/h
68,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,50米,25km/h
69,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,100米,25km/h
70,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,10米,50km/h
71,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,50米,50km/h
72,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,紧急（去医院）,100米,50km/h
73,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
74,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
75,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
76,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,50km/h
77,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
78,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,50km/h
79,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,25km/h
80,晴天,白天,干燥,儿童,看手机,走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,25km/h
