id,weather,time,road_condition,pedestrian_type,pedestrian_behavior,pedestiran_action,ego_role,occupant_requirement,distance to pedestrian,ego_vehicle_speed
1,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),10m,25km/h
2,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),50m,25km/h
3,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),100m,25km/h
4,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),10m,50km/h
5,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),50m,50km/h
6,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),100m,50km/h
7,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),10m,25km/h
8,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),50m,25km/h
9,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),100m,25km/h
10,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),10m,50km/h
11,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),50m,50km/h
12,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),100m,50km/h
13,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),10m,25km/h
14,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),50m,25km/h
15,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),100m,25km/h
16,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),10m,50km/h
17,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),50m,50km/h
18,sunny,day,dry,children,watching phone,stop,truck,urgent (to hospital),100m,50km/h
19,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),10m,25km/h
20,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),50m,25km/h
21,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),100m,25km/h
22,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),10m,50km/h
23,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),50m,50km/h
24,sunny,day,dry,children,watching phone,stop,normal car,hurry (commute or flight),100m,50km/h
25,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),10m,25km/h
26,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),50m,25km/h
27,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),100m,25km/h
28,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),10m,50km/h
29,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),50m,50km/h
30,sunny,day,dry,children,watching phone,stop,emergency vehicle,hurry (commute or flight),100m,50km/h
31,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),10m,25km/h
32,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),50m,25km/h
33,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),100m,25km/h
34,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),10m,50km/h
35,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),50m,50km/h
36,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),100m,50km/h
37,sunny,day,dry,children,watching phone,stop,normal car,none,10m,25km/h
38,sunny,day,dry,children,watching phone,stop,normal car,none,50m,25km/h
39,sunny,day,dry,children,watching phone,stop,normal car,none,100m,25km/h
40,sunny,day,dry,children,watching phone,stop,normal car,none,10m,50km/h
41,sunny,day,dry,children,watching phone,stop,normal car,none,50m,50km/h
42,sunny,day,dry,children,watching phone,stop,normal car,none,100m,50km/h
43,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,10m,25km/h
44,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,50m,25km/h
45,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,100m,25km/h
46,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,10m,50km/h
47,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,50m,50km/h
48,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,100m,50km/h
49,sunny,day,dry,children,watching phone,stop,truck,none,10m,25km/h
50,sunny,day,dry,children,watching phone,stop,truck,none,50m,25km/h
51,sunny,day,dry,children,watching phone,stop,truck,none,100m,25km/h
52,sunny,day,dry,children,watching phone,stop,truck,none,10m,50km/h
53,sunny,day,dry,children,watching phone,stop,truck,none,50m,50km/h
54,sunny,day,dry,children,watching phone,stop,truck,none,100m,50km/h
55,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,25km/h
56,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
57,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,25km/h
58,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
59,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,50km/h
60,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,50km/h
61,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
62,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
63,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,25km/h
64,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
65,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,50km/h
66,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),100m,50km/h
67,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,25km/h
68,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,25km/h
69,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,25km/h
70,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),10m,50km/h
71,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,50km/h
72,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,urgent (to hospital),100m,50km/h
73,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
74,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
75,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
76,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,50km/h
77,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),50m,50km/h
78,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),100m,50km/h
79,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,25km/h
80,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,25km/h
81,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,25km/h
82,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
83,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
84,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
85,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,25km/h
86,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
87,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,25km/h
88,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),10m,50km/h
89,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,50km/h
90,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,50km/h
91,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,10m,25km/h
92,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,50m,25km/h
93,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,100m,25km/h
94,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,10m,50km/h
95,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,50m,50km/h
96,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,none,100m,50km/h
