id,Météo,Moment de la journée,État de la route,Type de piéton,Comportement du piéton,Action du piéton,Rôle du véhicule ego,Besoin du passager,Distance au piéton,Vitesse du véhicule ego
1,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),10m,25km/h
2,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),50m,25km/h
3,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),100m,25km/h
4,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),10m,50km/h
5,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),50m,50km/h
6,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),100m,50km/h
7,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
8,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
9,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
10,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
11,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
12,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
13,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),10m,25km/h
14,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),50m,25km/h
15,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),100m,25km/h
16,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),10m,50km/h
17,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),50m,50km/h
18,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,urgence (vers hôpital),100m,50km/h
19,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),10m,25km/h
20,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),50m,25km/h
21,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),100m,25km/h
22,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),10m,50km/h
23,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),50m,50km/h
24,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,pressé (travail ou vol),100m,50km/h
25,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),10m,25km/h
26,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,25km/h
27,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,25km/h
28,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
29,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),50m,50km/h
30,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
31,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),10m,25km/h
32,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),50m,25km/h
33,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),100m,25km/h
34,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),10m,50km/h
35,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),50m,50km/h
36,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),100m,50km/h
37,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,10m,25km/h
38,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,50m,25km/h
39,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,100m,25km/h
40,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,10m,50km/h
41,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,50m,50km/h
42,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,aucun,100m,50km/h
43,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,10m,25km/h
44,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,50m,25km/h
45,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,100m,25km/h
46,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,10m,50km/h
47,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,50m,50km/h
48,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,100m,50km/h
49,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,10m,25km/h
50,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,50m,25km/h
51,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,100m,25km/h
52,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,10m,50km/h
53,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,50m,50km/h
54,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,aucun,100m,50km/h
55,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,25km/h
56,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
57,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,25km/h
58,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
59,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,50km/h
60,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,50km/h
61,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
62,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
63,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,25km/h
64,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
65,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,50km/h
66,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),100m,50km/h
67,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),10m,25km/h
68,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,urgence (vers hôpital),50m,25km/h
