id,天气,时间,路况,行人类型,行人行为,行人动作,本车角色,乘客需求,与行人距离,本车速度
4,晴天,白天,干燥,儿童,看手机,停留,普通汽车,紧急（去医院）,10米,50km/h
7,晴天,白天,干燥,儿童,看手机,停留,应急车辆,紧急（去医院）,10米,25km/h
36,晴天,白天,干燥,儿童,看手机,停留,卡车,赶时间（通勤或赶飞机）,100米,50km/h
43,晴天,白天,干燥,儿童,看手机,停留,应急车辆,无特别需求,10米,25km/h
58,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,10米,50km/h
60,晴天,白天,干燥,儿童,看手机,走向人行道,普通汽车,紧急（去医院）,100米,50km/h
104,晴天,白天,干燥,儿童,看手机,走向人行道,卡车,无特别需求,50米,25km/h
116,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,紧急（去医院）,50米,25km/h
128,晴天,白天,干燥,儿童,看手机,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,50米,25km/h
138,晴天,白天,干燥,儿童,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,100米,50km/h
170,晴天,白天,干燥,儿童,与人交谈,停留,应急车辆,紧急（去医院）,50米,25km/h
201,晴天,白天,干燥,儿童,与人交谈,停留,普通汽车,无特别需求,100米,25km/h
211,晴天,白天,干燥,儿童,与人交谈,停留,卡车,无特别需求,10米,25km/h
218,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,50米,25km/h
219,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,紧急（去医院）,100米,25km/h
248,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
252,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,100米,50km/h
258,晴天,白天,干燥,儿童,与人交谈,走向人行道,普通汽车,无特别需求,100米,50km/h
266,晴天,白天,干燥,儿童,与人交谈,走向人行道,卡车,无特别需求,50米,25km/h
274,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,紧急（去医院）,10米,50km/h
291,晴天,白天,干燥,儿童,与人交谈,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
314,晴天,白天,干燥,儿童,与人交谈,不走向人行道,应急车辆,无特别需求,50米,25km/h
323,晴天,白天,干燥,儿童,与人交谈,不走向人行道,卡车,无特别需求,50米,50km/h
324,晴天,白天,干燥,儿童,与人交谈,不走向人行道,卡车,无特别需求,100米,50km/h
327,晴天,白天,干燥,儿童,四处张望,停留,普通汽车,紧急（去医院）,100米,25km/h
328,晴天,白天,干燥,儿童,四处张望,停留,普通汽车,紧急（去医院）,10米,50km/h
342,晴天,白天,干燥,儿童,四处张望,停留,卡车,紧急（去医院）,100米,50km/h
345,晴天,白天,干燥,儿童,四处张望,停留,普通汽车,赶时间（通勤或赶飞机）,100米,25km/h
347,晴天,白天,干燥,儿童,四处张望,停留,普通汽车,赶时间（通勤或赶飞机）,50米,50km/h
352,晴天,白天,干燥,儿童,四处张望,停留,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
362,晴天,白天,干燥,儿童,四处张望,停留,普通汽车,无特别需求,50米,25km/h
380,晴天,白天,干燥,儿童,四处张望,走向人行道,普通汽车,紧急（去医院）,50米,25km/h
386,晴天,白天,干燥,儿童,四处张望,走向人行道,应急车辆,紧急（去医院）,50米,25km/h
388,晴天,白天,干燥,儿童,四处张望,走向人行道,应急车辆,紧急（去医院）,10米,50km/h
410,晴天,白天,干燥,儿童,四处张望,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
424,晴天,白天,干燥,儿童,四处张望,走向人行道,应急车辆,无特别需求,10米,50km/h
425,晴天,白天,干燥,儿童,四处张望,走向人行道,应急车辆,无特别需求,50米,50km/h
439,晴天,白天,干燥,儿童,四处张望,不走向人行道,应急车辆,紧急（去医院）,10米,25km/h
451,晴天,白天,干燥,儿童,四处张望,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
461,晴天,白天,干燥,儿童,四处张望,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,50米,50km/h
467,晴天,白天,干燥,儿童,四处张望,不走向人行道,卡车,赶时间（通勤或赶飞机）,50米,50km/h
468,晴天,白天,干燥,儿童,四处张望,不走向人行道,卡车,赶时间（通勤或赶飞机）,100米,50km/h
485,晴天,白天,干燥,儿童,四处张望,不走向人行道,卡车,无特别需求,50米,50km/h
500,晴天,白天,干燥,老人,看手机,停留,卡车,紧急（去医院）,50米,25km/h
559,晴天,白天,干燥,老人,看手机,走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
622,晴天,白天,干燥,老人,看手机,不走向人行道,应急车辆,赶时间（通勤或赶飞机）,10米,50km/h
652,晴天,白天,干燥,老人,与人交谈,停留,普通汽车,紧急（去医院）,10米,50km/h
706,晴天,白天,干燥,老人,与人交谈,走向人行道,普通汽车,紧急（去医院）,10米,50km/h
716,晴天,白天,干燥,老人,与人交谈,走向人行道,卡车,紧急（去医院）,50米,25km/h
719,晴天,白天,干燥,老人,与人交谈,走向人行道,卡车,紧急（去医院）,50米,50km/h
734,晴天,白天,干燥,老人,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,25km/h
737,晴天,白天,干燥,老人,与人交谈,走向人行道,卡车,赶时间（通勤或赶飞机）,50米,50km/h
739,晴天,白天,干燥,老人,与人交谈,走向人行道,普通汽车,无特别需求,10米,25km/h
796,晴天,白天,干燥,老人,与人交谈,不走向人行道,普通汽车,无特别需求,10米,50km/h
829,晴天,白天,干燥,老人,四处张望,停留,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
853,晴天,白天,干燥,老人,四处张望,停留,应急车辆,无特别需求,10米,25km/h
879,晴天,白天,干燥,老人,四处张望,走向人行道,卡车,紧急（去医院）,100米,25km/h
912,晴天,白天,干燥,老人,四处张望,走向人行道,应急车辆,无特别需求,100米,50km/h
929,晴天,白天,干燥,老人,四处张望,不走向人行道,应急车辆,紧急（去医院）,50米,50km/h
937,晴天,白天,干燥,老人,四处张望,不走向人行道,普通汽车,赶时间（通勤或赶飞机）,10米,25km/h
961,晴天,白天,干燥,老人,四处张望,不走向人行道,应急车辆,无特别需求,10米,25km/h
971,晴天,白天,干燥,老人,四处张望,不走向人行道,卡车,无特别需求,50米,50km/h
