id,weather,time,road_condition,pedestrian_type,pedestrian_behavior,pedestiran_action,ego_role,occupant_requirement,distance to pedestrian,ego_vehicle_speed
4,sunny,day,dry,children,watching phone,stop,normal car,urgent (to hospital),10m,50km/h
7,sunny,day,dry,children,watching phone,stop,emergency vehicle,urgent (to hospital),10m,25km/h
36,sunny,day,dry,children,watching phone,stop,truck,hurry (commute or flight),100m,50km/h
43,sunny,day,dry,children,watching phone,stop,emergency vehicle,none,10m,25km/h
58,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
60,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,50km/h
104,sunny,day,dry,children,watching phone,moving orientation towards crosswalk,truck,none,50m,25km/h
116,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
128,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),50m,25km/h
138,sunny,day,dry,children,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),100m,50km/h
170,sunny,day,dry,children,talking to someone,stop,emergency vehicle,urgent (to hospital),50m,25km/h
201,sunny,day,dry,children,talking to someone,stop,normal car,none,100m,25km/h
211,sunny,day,dry,children,talking to someone,stop,truck,none,10m,25km/h
218,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
219,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),100m,25km/h
248,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
252,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),100m,50km/h
258,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,normal car,none,100m,50km/h
266,sunny,day,dry,children,talking to someone,moving orientation towards crosswalk,truck,none,50m,25km/h
274,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,urgent (to hospital),10m,50km/h
291,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,normal car,hurry (commute or flight),100m,25km/h
314,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,emergency vehicle,none,50m,25km/h
323,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,none,50m,50km/h
324,sunny,day,dry,children,talking to someone,moving orientation not towards crosswalk,truck,none,100m,50km/h
327,sunny,day,dry,children,looking around,stop,normal car,urgent (to hospital),100m,25km/h
328,sunny,day,dry,children,looking around,stop,normal car,urgent (to hospital),10m,50km/h
342,sunny,day,dry,children,looking around,stop,truck,urgent (to hospital),100m,50km/h
345,sunny,day,dry,children,looking around,stop,normal car,hurry (commute or flight),100m,25km/h
347,sunny,day,dry,children,looking around,stop,normal car,hurry (commute or flight),50m,50km/h
352,sunny,day,dry,children,looking around,stop,emergency vehicle,hurry (commute or flight),10m,50km/h
362,sunny,day,dry,children,looking around,stop,normal car,none,50m,25km/h
380,sunny,day,dry,children,looking around,moving orientation towards crosswalk,normal car,urgent (to hospital),50m,25km/h
386,sunny,day,dry,children,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),50m,25km/h
388,sunny,day,dry,children,looking around,moving orientation towards crosswalk,emergency vehicle,urgent (to hospital),10m,50km/h
410,sunny,day,dry,children,looking around,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
424,sunny,day,dry,children,looking around,moving orientation towards crosswalk,emergency vehicle,none,10m,50km/h
425,sunny,day,dry,children,looking around,moving orientation towards crosswalk,emergency vehicle,none,50m,50km/h
439,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,emergency vehicle,urgent (to hospital),10m,25km/h
451,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
461,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),50m,50km/h
467,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,truck,hurry (commute or flight),50m,50km/h
468,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,truck,hurry (commute or flight),100m,50km/h
485,sunny,day,dry,children,looking around,moving orientation not towards crosswalk,truck,none,50m,50km/h
500,sunny,day,dry,elderly,watching phone,stop,truck,urgent (to hospital),50m,25km/h
559,sunny,day,dry,elderly,watching phone,moving orientation towards crosswalk,normal car,hurry (commute or flight),10m,25km/h
622,sunny,day,dry,elderly,watching phone,moving orientation not towards crosswalk,emergency vehicle,hurry (commute or flight),10m,50km/h
652,sunny,day,dry,elderly,talking to someone,stop,normal car,urgent (to hospital),10m,50km/h
706,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,urgent (to hospital),10m,50km/h
716,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,25km/h
719,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,urgent (to hospital),50m,50km/h
734,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,25km/h
737,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,truck,hurry (commute or flight),50m,50km/h
739,sunny,day,dry,elderly,talking to someone,moving orientation towards crosswalk,normal car,none,10m,25km/h
796,sunny,day,dry,elderly,talking to someone,moving orientation not towards crosswalk,normal car,none,10m,50km/h
829,sunny,day,dry,elderly,looking around,stop,normal car,hurry (commute or flight),10m,25km/h
853,sunny,day,dry,elderly,looking around,stop,emergency vehicle,none,10m,25km/h
