id,Météo,Moment de la journée,État de la route,Type de piéton,Comportement du piéton,Action du piéton,Rôle du véhicule ego,Besoin du passager,Distance au piéton,Vitesse du véhicule ego
4,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,voiture normale,urgence (vers hôpital),10m,50km/h
7,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,urgence (vers hôpital),10m,25km/h
36,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,camion,pressé (travail ou vol),100m,50km/h
43,ensoleillé,jour,sec,enfant,regarde son téléphone,s’arrêter,véhicule d'urgence,aucun,10m,25km/h
58,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
60,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,50km/h
104,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer en direction du passage piéton,camion,aucun,50m,25km/h
116,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
128,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),50m,25km/h
138,ensoleillé,jour,sec,enfant,regarde son téléphone,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,pressé (travail ou vol),100m,50km/h
170,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
201,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,voiture normale,aucun,100m,25km/h
211,ensoleillé,jour,sec,enfant,parle à quelqu'un,s’arrêter,camion,aucun,10m,25km/h
218,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
219,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),100m,25km/h
248,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,25km/h
252,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),100m,50km/h
258,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,voiture normale,aucun,100m,50km/h
266,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer en direction du passage piéton,camion,aucun,50m,25km/h
274,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,urgence (vers hôpital),10m,50km/h
291,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,voiture normale,pressé (travail ou vol),100m,25km/h
314,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,véhicule d'urgence,aucun,50m,25km/h
323,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,50m,50km/h
324,ensoleillé,jour,sec,enfant,parle à quelqu'un,se déplacer dans une direction autre que celle du passage piéton,camion,aucun,100m,50km/h
327,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,voiture normale,urgence (vers hôpital),100m,25km/h
328,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,voiture normale,urgence (vers hôpital),10m,50km/h
342,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,camion,urgence (vers hôpital),100m,50km/h
345,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,voiture normale,pressé (travail ou vol),100m,25km/h
347,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,voiture normale,pressé (travail ou vol),50m,50km/h
352,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,véhicule d'urgence,pressé (travail ou vol),10m,50km/h
362,ensoleillé,jour,sec,enfant,regarde autour,s’arrêter,voiture normale,aucun,50m,25km/h
380,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,voiture normale,urgence (vers hôpital),50m,25km/h
386,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),50m,25km/h
388,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,urgence (vers hôpital),10m,50km/h
410,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,camion,pressé (travail ou vol),50m,25km/h
424,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,10m,50km/h
425,ensoleillé,jour,sec,enfant,regarde autour,se déplacer en direction du passage piéton,véhicule d'urgence,aucun,50m,50km/h
